Time (ms), Y Acceleration (g)
9837,-0.0283203125
9938,-0.00048828125
10038,-0.01708984375
10138,-0.02734375
10238,-0.00830078125
10347,-0.01806640625
10447,-0.01806640625
10547,-0.01318359375
10656,-0.00927734375
10757,-0.013671875
10860,-0.02587890625
10957,-0.01025390625
11057,-0.0146484375
11166,-0.0166015625
11267,-0.0068359375
11367,-0.01171875
11467,-0.02001953125
11566,-0.0009765625
11676,-0.0263671875
11776,-0.0107421875
11876,-0.009765625
11985,-0.00048828125
12086,-0.0029296875
12195,-0.02197265625
12296,-0.0126953125
12396,-0.0146484375
12505,-0.00732421875
12606,-0.01904296875
12705,-0.01708984375
12805,-0.01220703125
12905,-0.01708984375
13015,-0.0078125
13115,-0.021484375
13215,-0.00634765625
13315,-0.017578125
13415,-0.00830078125
13524,-0.01318359375
13625,-0.01806640625
13725,-0.013671875
13834,-0.02685546875
13934,0.0009765625
14034,-0.0390625
14134,-0.001953125
14234,-0.0283203125
14343,-0.00830078125
14444,-0.01220703125
14544,-0.01904296875
14644,-0.01171875
14744,-0.0107421875
14853,-0.017578125
14953,-0.01513671875
15053,-0.02001953125
15162,-0.0107421875
15263,-0.0068359375
15372,-0.01904296875
15473,-0.01171875
15573,-0.01953125
15682,-0.013671875
15783,-0.0107421875
15883,-0.0126953125
15983,-0.0087890625
16082,-0.017578125
16192,-0.01611328125
16292,-0.01953125
16392,-0.00927734375
16492,-0.0146484375
16592,-0.00830078125
16701,-0.02001953125
16802,-0.01513671875
16902,-0.02001953125
17011,-0.009765625
17111,-0.01513671875
17211,-0.01220703125
17311,-0.0087890625
17411,-0.01953125
17520,-0.01318359375
17621,-0.01513671875
17721,-0.01318359375
17821,-0.01220703125
17921,-0.0126953125
18030,-0.0068359375
18131,-0.015625
18231,-0.01513671875
18340,-0.01416015625
18450,-0.01806640625
18553,-0.0087890625
18650,-0.01416015625
18750,-0.01904296875
18859,-0.01318359375
18960,-0.015625
19060,-0.009765625
19160,-0.013671875
19260,-0.01611328125
19369,-0.0185546875
19470,-0.01171875
19569,-0.0126953125
19669,-0.0205078125
19769,-0.02001953125
19878,-0.01416015625
19979,-0.00732421875
20079,-0.01904296875
20188,-0.01806640625
20289,-0.01416015625
20389,-0.02197265625
20488,-0.00830078125
20588,-0.01025390625
20698,-0.0126953125
20798,-0.02001953125
20898,-0.013671875
20998,-0.01904296875
21098,-0.013671875
21207,-0.0146484375
21308,-0.0185546875
21408,-0.01318359375
21517,-0.01416015625
21617,-0.01025390625
21717,-0.0205078125
21817,-0.021484375
21917,-0.01708984375
22026,-0.0185546875
22127,-0.0283203125
22227,-0.01953125
22327,-0.01513671875
22427,-0.013671875
22536,-0.0185546875
22637,-0.01171875
22737,-0.02001953125
22846,-0.0185546875
22947,-0.01806640625
23056,-0.015625
23156,-0.005859375
23256,-0.0146484375
23365,-0.009765625
23466,-0.015625
23566,-0.01513671875
23666,-0.0185546875
23766,-0.005859375
23875,-0.00732421875
23976,-0.01904296875
24075,-0.01025390625
24175,-0.01513671875
24275,-0.0087890625
24385,-0.01953125
24485,-0.01318359375
24585,-0.01220703125
24694,-0.009765625
24795,-0.0087890625
24895,-0.0107421875
24995,-0.021484375
25095,-0.01611328125
25204,-0.01513671875
25305,-0.01220703125
25404,-0.013671875
25504,-0.01806640625
25604,-0.01220703125
25713,-0.01171875
25814,-0.01611328125
25914,-0.01953125
26023,-0.01220703125
26123,-0.0166015625
26226,-0.00830078125
26323,-0.0087890625
26423,-0.00341796875
26533,-0.01171875
26633,-0.01708984375
26733,0.0
26833,-0.00927734375
26933,-0.017578125
27042,-0.013671875
27143,-0.01708984375
27243,-0.01513671875
27343,-0.01953125
27443,-0.01513671875
27552,-0.01904296875
27652,-0.0068359375
27752,-0.0146484375
27861,-0.01611328125
27962,-0.02392578125
28062,-0.0029296875
28162,-0.015625
28262,-0.0068359375
28371,-0.01318359375
28472,-0.01513671875
28572,-0.01220703125
28672,-0.01904296875
28771,-0.01220703125
28881,-0.009765625
28981,-0.01171875
29081,-0.00341796875
29190,-0.00830078125
29291,0.1806640625
29394,0.0263671875
29491,-0.36181640625
29591,-0.4140625
29700,-0.13330078125
29801,-0.0908203125
29900,0.041015625
30000,0.27001953125
30100,0.10009765625
30210,0.046875
30310,0.21533203125
30410,-0.09033203125
30519,-0.0537109375
30620,0.0224609375
30729,-0.205078125
30830,-0.1650390625
30930,-0.02490234375
31039,-0.0625
31149,-0.07568359375
31249,-0.15673828125
31349,-0.17578125
31449,-0.12353515625
31558,-0.06396484375
31659,-0.0380859375
31759,-0.0498046875
31859,-0.072265625
31959,-0.0048828125
32068,0.02392578125
32169,0.0908203125
32268,0.1103515625
32378,-0.013671875
32478,-0.13916015625
32578,0.01318359375
32678,0.2529296875
32778,-0.025390625
32887,-0.02587890625
32988,0.2646484375
33088,0.05517578125
33187,-0.0146484375
33287,0.14013671875
33397,0.00732421875
33497,-0.0068359375
33597,-0.24072265625
33706,-0.048828125
33807,0.07861328125
33916,0.01708984375
34017,0.08740234375
34117,-0.015625
34226,0.111328125
34327,-0.091796875
34427,-0.0498046875
34526,-0.2568359375
34626,-0.23486328125
34736,-0.0234375
34836,0.23828125
34936,0.14208984375
35036,0.08251953125
35136,0.1494140625
35245,-0.11767578125
35346,0.1240234375
35446,-0.1494140625
35555,-0.0615234375
35656,-0.1337890625
35755,0.1220703125
35855,-0.013671875
35955,0.1005859375
36064,-0.11279296875
36165,-0.1201171875
36265,0.2666015625
36365,-0.322265625
36465,-0.11279296875
36574,-0.2265625
36675,-0.060546875
36774,0.052734375
36884,0.12109375
36984,-0.05908203125
37087,0.0302734375
37184,-0.14697265625
37284,-0.0859375
37393,-0.03857421875
37494,-0.1552734375
37594,0.18115234375
