Time (ms), Z Acceleration (g)
9847,-0.083984375
9947,-0.080078125
10047,-0.05712890625
10147,-0.0810546875
10247,-0.08740234375
10357,-0.07763671875
10457,-0.08984375
10557,-0.0830078125
10667,-0.0888671875
10767,-0.0986328125
10866,-0.0849609375
10966,-0.07470703125
11066,-0.09619140625
11176,-0.0927734375
11276,-0.07177734375
11376,-0.0986328125
11476,-0.0703125
11576,-0.05712890625
11685,-0.083984375
11786,-0.07861328125
11886,-0.09619140625
11995,-0.06689453125
12095,-0.0712890625
12205,-0.09375
12305,-0.0908203125
12405,-0.08935546875
12515,-0.07470703125
12615,-0.0849609375
12715,-0.08544921875
12815,-0.087890625
12915,-0.09375
13024,-0.0888671875
13125,-0.08544921875
13224,-0.04833984375
13324,-0.08642578125
13424,-0.0732421875
13534,-0.076171875
13634,-0.09765625
13734,-0.0947265625
13844,-0.0625
13944,-0.0830078125
14044,-0.05078125
14144,-0.0771484375
14244,-0.087890625
14353,-0.07763671875
14453,-0.1064453125
14553,-0.087890625
14653,-0.08251953125
14753,-0.099609375
14863,-0.08935546875
14963,-0.0849609375
15063,-0.09326171875
15173,-0.0791015625
15273,-0.08544921875
15382,-0.0791015625
15483,-0.0810546875
15582,-0.0830078125
15692,-0.0849609375
15792,-0.08349609375
15892,-0.08544921875
15992,-0.07568359375
16092,-0.07958984375
16202,-0.07763671875
16302,-0.08740234375
16402,-0.09814453125
16502,-0.08154296875
16602,-0.08349609375
16711,-0.09619140625
16811,-0.0888671875
16911,-0.0732421875
17021,-0.07421875
17121,-0.06591796875
17221,-0.07666015625
17321,-0.08447265625
17421,-0.07568359375
17531,-0.09716796875
17631,-0.08544921875
17731,-0.07470703125
17830,-0.08447265625
17930,-0.0771484375
18040,-0.08154296875
18140,-0.09326171875
18240,-0.09033203125
18350,-0.07861328125
18460,-0.0810546875
18560,-0.08154296875
18660,-0.0810546875
18760,-0.07763671875
18870,-0.0791015625
18969,-0.08203125
19069,-0.08642578125
19169,-0.072265625
19269,-0.0849609375
19379,-0.08837890625
19479,-0.08837890625
19579,-0.0888671875
19679,-0.08837890625
19779,-0.07763671875
19888,-0.0771484375
19989,-0.0712890625
20088,-0.083984375
20198,-0.083984375
20298,-0.08154296875
20398,-0.0791015625
20498,-0.06201171875
20598,-0.08740234375
20708,-0.08984375
20808,-0.08544921875
20908,-0.08349609375
21008,-0.080078125
21108,-0.08544921875
21217,-0.0888671875
21317,-0.0791015625
21417,-0.08154296875
21527,-0.08447265625
21627,-0.07763671875
21727,-0.07666015625
21827,-0.0732421875
21927,-0.09326171875
22037,-0.07470703125
22137,-0.0810546875
22237,-0.08447265625
22337,-0.087890625
22436,-0.08935546875
22546,-0.07666015625
22646,-0.08935546875
22746,-0.0986328125
22856,-0.07666015625
22956,-0.09375
23066,-0.078125
23166,-0.08740234375
23266,-0.091796875
23376,-0.08544921875
23476,-0.0791015625
23575,-0.07470703125
23675,-0.08740234375
23775,-0.08837890625
23885,-0.0771484375
23985,-0.0869140625
