Time (ms), eCO2 density (ppm)
9932,400.0
10032,400.0
10132,400.0
10232,400.0
10331,400.0
10441,400.0
10541,400.0
10645,400.0
10751,400.0
10851,400.0
10951,400.0
11051,400.0
11154,400.0
11261,400.0
11361,400.0
11461,400.0
11560,400.0
11660,400.0
11770,400.0
11870,400.0
11973,400.0
12080,400.0
12180,400.0
12290,400.0
12390,400.0
12493,400.0
12600,400.0
12699,400.0
12799,400.0
12899,400.0
12999,400.0
13109,400.0
13209,400.0
13309,400.0
13409,400.0
13509,400.0
13619,400.0
13719,400.0
13822,400.0
13928,400.0
14028,400.0
14128,400.0
14228,400.0
14332,400.0
14438,400.0
14538,400.0
14638,400.0
14738,400.0
14838,400.0
14947,400.0
15047,400.0
15151,400.0
15257,400.0
15357,400.0
15467,400.0
15567,400.0
15670,400.0
15777,400.0
15877,400.0
15977,400.0
16076,400.0
16176,400.0
16286,400.0
16386,400.0
16486,400.0
16586,400.0
16686,400.0
16796,400.0
16896,400.0
16999,400.0
17105,400.0
17205,400.0
17305,400.0
17405,400.0
17509,400.0
17615,400.0
17715,400.0
17815,400.0
17915,400.0
18015,400.0
18125,400.0
18225,400.0
18328,400.0
18435,400.0
18544,400.0
18644,400.0
18744,400.0
18848,400.0
18954,400.0
19054,400.0
19154,400.0
19254,400.0
19354,400.0
19464,400.0
19563,400.0
19663,400.0
19763,400.0
19863,400.0
19973,400.0
20073,400.0
20176,400.0
20283,400.0
20383,400.0
20482,400.0
20582,400.0
20682,400.0
20792,400.0
20892,400.0
20992,400.0
21092,400.0
21192,400.0
21302,400.0
21402,400.0
21505,400.0
21611,400.0
21711,400.0
21811,400.0
21911,400.0
22015,400.0
22121,400.0
22221,400.0
22321,400.0
22421,400.0
22521,400.0
22631,400.0
22731,400.0
22834,400.0
22941,400.0
23040,400.0
23150,400.0
23250,400.0
23354,400.0
23460,400.0
23560,400.0
23660,400.0
23760,400.0
23860,400.0
23970,400.0
24069,400.0
24169,400.0
