Time (ms), Air Pressure (P)
10044,99381.265625
10532,99391.03125
11029,99380.21875
11501,99383.7265625
12110,99388.109375
12501,99381.859375
13100,99380.21875
13575,99380.21875
14109,99381.015625
14526,99378.3203125
15026,99372.90625
15584,99377.296875
16001,99382.703125
16533,99383.515625
17026,99379.75
17532,99380.59375
18001,99386.0
18601,99384.953125
19101,99384.140625
19550,99386.84375
20056,99384.953125
20609,99384.953125
21001,99382.2421875
21558,99378.515625
22038,99384.953125
22526,99383.0859375
23026,99381.4375
23597,99383.921875
24001,99390.140625
24546,99385.78125
25026,99389.328125
25595,99387.4375
26105,99383.921875
26501,99381.21875
27026,99382.875
27527,99380.171875
28026,99380.171875
28602,99379.328125
29102,99385.578125
29527,99382.875
30031,99380.96875
30501,99383.6796875
31110,99383.6796875
31533,99378.2734375
32029,99382.65625
32526,99382.65625
33001,99380.7578125
33608,99380.7578125
34061,99388.875
34547,99378.2734375
35110,99384.3046875
35526,99380.7578125
36109,99384.3046875
36526,99381.6015625
37095,99381.6015625
37565,99383.46875
38104,99389.71875
38501,99387.0078125
39001,99385.109375
39501,99387.8125
40056,99385.109375
40545,99381.390625
41026,99377.0
41527,99381.390625
42001,99383.25
42501,99385.953125
43050,99375.140625
43526,99383.25
44001,99382.1953125
44598,99376.78125
45026,99382.1953125
45526,99383.03125
46107,99376.78125
46606,99382.1953125
47001,99379.484375
47606,99387.6015625
48026,99379.484375
48605,99380.328125
49001,99386.578125
49584,99386.578125
50093,99377.625
50501,99381.171875
51001,99384.6875
51527,99383.03125
52062,99381.984375
52501,99387.390625
53001,99387.390625
53527,99384.6875
54026,99380.921875
54501,99380.1171875
55001,99383.03125
55598,99379.28125
56068,99384.6875
56501,99386.328125
57001,99382.8203125
57501,99385.5234375
58066,99382.8203125
58526,99384.46875
59105,99380.921875
59605,99387.171875
60032,99384.46875
60501,99382.8203125
61001,99381.765625
61603,99385.3125
62103,99385.3125
62501,99382.609375
63001,99386.1171875
63602,99386.1171875
64001,99388.828125
64501,99379.0625
