Time (ms), X Gyro (deg per sec)
10103,-14.25356388092041
10193,-14.553638458251953
10263,-15.153788566589355
10353,-13.95348834991455
10453,-13.95348834991455
10593,-13.95348834991455
10663,-13.95348834991455
10733,-15.303826332092285
10853,-14.25356388092041
10953,-15.003750801086426
11092,-14.403600692749023
11182,-14.553638458251953
11262,-15.453863143920898
11352,-15.453863143920898
11462,-14.853713989257812
11562,-15.003750801086426
11662,-14.25356388092041
11762,-15.003750801086426
11862,-14.403600692749023
11962,-14.25356388092041
12062,-15.303826332092285
12171,-15.303826332092285
12262,-15.303826332092285
12331,-13.653413772583008
12471,-13.95348834991455
12561,-14.10352611541748
12661,-16.354087829589844
12761,-14.403600692749023
12861,-13.353338241577148
12921,-14.553638458251953
13051,-15.903976440429688
13160,-14.403600692749023
13260,-14.25356388092041
13360,-15.153788566589355
13460,-14.553638458251953
13530,-13.95348834991455
13670,-15.603900909423828
13710,-16.054014205932617
13860,-14.403600692749023
13960,-13.95348834991455
14060,-15.453863143920898
14170,-14.403600692749023
14259,-15.003750801086426
14379,-15.303826332092285
14479,-13.95348834991455
14589,-15.003750801086426
14679,-14.853713989257812
14769,-14.10352611541748
14859,-14.25356388092041
14959,-14.853713989257812
15089,-14.553638458251953
15179,-14.853713989257812
15269,-13.95348834991455
15309,-13.653413772583008
15459,-14.25356388092041
15538,-15.453863143920898
15659,-14.553638458251953
15758,-13.95348834991455
15858,-15.303826332092285
15958,-15.903976440429688
16058,-15.303826332092285
16158,-14.853713989257812
16228,-14.403600692749023
16328,-14.403600692749023
16418,-14.553638458251953
16587,-14.403600692749023
16657,-13.653413772583008
16757,-14.853713989257812
16857,-15.153788566589355
16947,-14.25356388092041
17087,-15.003750801086426
17177,-14.403600692749023
17217,-15.603900909423828
17317,-14.403600692749023
17457,-14.553638458251953
17587,-13.95348834991455
17657,-15.453863143920898
17757,-13.653413772583008
17856,-14.553638458251953
17956,-15.603900909423828
18056,-13.653413772583008
18156,-14.25356388092041
18256,-15.303826332092285
18356,-14.25356388092041
18466,-14.25356388092041
18556,-15.003750801086426
18656,-15.303826332092285
18745,-15.303826332092285
18855,-15.603900909423828
18936,-14.553638458251953
19055,-14.403600692749023
19155,-15.453863143920898
19255,-15.603900909423828
19355,-15.153788566589355
19475,-14.403600692749023
19505,-15.003750801086426
19655,-14.853713989257812
19755,-15.303826332092285
19855,-15.453863143920898
19955,-15.153788566589355
20114,-14.10352611541748
20264,-14.853713989257812
20354,-13.503376007080078
20454,-14.10352611541748
20564,-14.403600692749023
20664,-15.453863143920898
20754,-14.403600692749023
20802,-14.25356388092041
20964,-15.903976440429688
21064,-14.403600692749023
21164,-15.603900909423828
21253,-14.853713989257812
21353,-14.10352611541748
21453,-14.853713989257812
21513,-15.903976440429688
21663,-13.653413772583008
21753,-15.453863143920898
21843,-14.853713989257812
21953,-14.403600692749023
22002,-16.054014205932617
22163,-13.653413772583008
22203,-15.153788566589355
22352,-14.553638458251953
22403,-13.653413772583008
22582,-15.303826332092285
22672,-14.553638458251953
22762,-15.153788566589355
22862,-15.453863143920898
22962,-15.303826332092285
23082,-14.553638458251953
23172,-14.853713989257812
23261,-15.003750801086426
23381,-14.553638458251953
23412,-15.003750801086426
23551,-14.403600692749023
23661,-14.10352611541748
23761,-14.553638458251953
23861,-14.25356388092041
23961,-15.003750801086426
24061,-13.353338241577148
24171,-14.553638458251953
24261,-14.10352611541748
24361,-14.553638458251953
24461,-13.503376007080078
24502,-15.003750801086426
24651,-15.303826332092285
24740,-15.153788566589355
24860,-14.553638458251953
24902,-13.053263664245605
25080,-15.303826332092285
25170,-15.153788566589355
25230,-15.153788566589355
25360,-13.95348834991455
25450,-14.10352611541748
25550,-14.853713989257812
25619,-15.003750801086426
25759,-15.003750801086426
25859,-16.054014205932617
25959,-14.553638458251953
26059,-14.25356388092041
26159,-14.403600692749023
26259,-13.503376007080078
26359,-15.153788566589355
26402,-14.10352611541748
26559,-15.453863143920898
26659,-14.853713989257812
26759,-15.153788566589355
26819,-13.203300476074219
26958,-13.203300476074219
27088,-14.553638458251953
27178,-15.153788566589355
27208,-15.153788566589355
27302,-14.853713989257812
27458,-15.603900909423828
27588,-14.403600692749023
27668,-15.003750801086426
27758,-14.853713989257812
27857,-13.95348834991455
27957,-14.25356388092041
28087,-14.10352611541748
28177,-14.553638458251953
28267,-14.853713989257812
28357,-14.403600692749023
28417,-14.25356388092041
28557,-14.553638458251953
28657,-14.403600692749023
28757,-15.303826332092285
28837,-13.503376007080078
28957,-14.553638458251953
29057,-15.303826332092285
29157,-15.453863143920898
29256,-14.10352611541748
29356,-14.553638458251953
29456,-15.303826332092285
29586,-15.153788566589355
29666,-14.853713989257812
29756,-13.95348834991455
29856,-15.603900909423828
29956,-13.95348834991455
30086,-15.603900909423828
30186,-15.003750801086426
30275,-14.553638458251953
30366,-14.10352611541748
30455,-13.653413772583008
30565,-14.10352611541748
30665,-13.95348834991455
30755,-15.303826332092285
30855,-14.403600692749023
30955,-15.003750801086426
31065,-14.553638458251953
31165,-15.153788566589355
31234,-15.453863143920898
31354,-14.403600692749023
31454,-14.853713989257812
31594,-14.25356388092041
31664,-15.003750801086426
31714,-14.853713989257812
31874,-13.95348834991455
31954,-13.95348834991455
32084,-14.553638458251953
32174,-13.95348834991455
32264,-14.10352611541748
32374,-14.553638458251953
32453,-14.553638458251953
32583,-16.354087829589844
32673,-13.95348834991455
32763,-13.353338241577148
32853,-14.403600692749023
32953,-14.403600692749023
33063,-14.10352611541748
33163,-13.353338241577148
33213,-14.403600692749023
33353,-14.10352611541748
33453,-15.903976440429688
33562,-15.003750801086426
33663,-13.95348834991455
33752,-16.054014205932617
33803,-15.303826332092285
33952,-16.354087829589844
34012,-13.95348834991455
34122,-14.553638458251953
34212,-14.403600692749023
34362,-14.403600692749023
34462,-14.853713989257812
34502,-14.403600692749023
34611,-15.003750801086426
34761,-15.003750801086426
34862,-13.653413772583008
34961,-15.453863143920898
35061,-14.553638458251953
35171,-14.553638458251953
35261,-14.553638458251953
35361,-14.403600692749023
35441,-14.25356388092041
35581,-15.453863143920898
35671,-14.553638458251953
35761,-14.10352611541748
35860,-15.303826332092285
35930,-15.903976440429688
36061,-15.003750801086426
36170,-15.603900909423828
36260,-13.653413772583008
36360,-13.203300476074219
36460,-15.153788566589355
36590,-15.003750801086426
36680,-12.753188133239746
36760,-15.153788566589355
36859,-15.603900909423828
36919,-14.25356388092041
37049,-14.25356388092041
37159,-13.353338241577148
37259,-13.653413772583008
37359,-14.553638458251953
37459,-14.25356388092041
37519,-14.553638458251953
37609,-15.003750801086426
37759,-15.153788566589355
37859,-15.003750801086426
37959,-15.003750801086426
38059,-15.453863143920898
38159,-13.95348834991455
38258,-15.003750801086426
38358,-14.25356388092041
38458,-13.95348834991455
38558,-14.25356388092041
38658,-14.853713989257812
38758,-13.95348834991455
38858,-14.853713989257812
38958,-14.853713989257812
39058,-14.553638458251953
39157,-13.503376007080078
39257,-14.25356388092041
39357,-13.95348834991455
39457,-14.403600692749023
39557,-14.10352611541748
39657,-15.453863143920898
39727,-14.853713989257812
39857,-15.153788566589355
39917,-15.153788566589355
40117,-14.553638458251953
40267,-14.553638458251953
40357,-13.503376007080078
40456,-14.553638458251953
40502,-15.603900909423828
40666,-13.653413772583008
40756,-15.603900909423828
40856,-14.10352611541748
40956,-15.903976440429688
41086,-16.504125595092773
41176,-13.203300476074219
41266,-14.25356388092041
41355,-14.553638458251953
41436,-15.003750801086426
41585,-14.403600692749023
41666,-15.303826332092285
41755,-15.603900909423828
41855,-14.553638458251953
41955,-14.25356388092041
42065,-16.054014205932617
42165,-14.25356388092041
42255,-15.303826332092285
42355,-14.403600692749023
42405,-15.003750801086426
42564,-13.053263664245605
42665,-15.303826332092285
42765,-13.503376007080078
42854,-14.853713989257812
42954,-15.153788566589355
43004,-14.553638458251953
43164,-14.553638458251953
43214,-14.553638458251953
43354,-13.95348834991455
43454,-14.403600692749023
43584,-13.95348834991455
43674,-14.403600692749023
43764,-15.303826332092285
43853,-15.003750801086426
43953,-15.153788566589355
44063,-14.403600692749023
44163,-15.153788566589355
44243,-15.153788566589355
44333,-15.153788566589355
44423,-14.25356388092041
44553,-15.303826332092285
44653,-14.403600692749023
44753,-13.653413772583008
44853,-13.95348834991455
44952,-14.403600692749023
45082,-14.853713989257812
45172,-15.603900909423828
45262,-14.853713989257812
45362,-14.25356388092041
45462,-14.10352611541748
45582,-14.403600692749023
45672,-13.95348834991455
45732,-13.653413772583008
45862,-14.853713989257812
45912,-13.503376007080078
46061,-14.25356388092041
46161,-14.10352611541748
46261,-16.354087829589844
46361,-15.903976440429688
46461,-15.153788566589355
46561,-14.853713989257812
46661,-14.403600692749023
46761,-13.653413772583008
46861,-15.153788566589355
46971,-15.153788566589355
47061,-15.153788566589355
47160,-14.553638458251953
47251,-14.403600692749023
47360,-15.603900909423828
47450,-15.453863143920898
47560,-15.003750801086426
47660,-14.10352611541748
47760,-14.403600692749023
47860,-15.153788566589355
47910,-14.403600692749023
48090,-14.403600692749023
48179,-13.353338241577148
48259,-16.054014205932617
48359,-15.153788566589355
48459,-15.603900909423828
48559,-15.603900909423828
48659,-14.553638458251953
48759,-13.95348834991455
48879,-14.853713989257812
48969,-14.853713989257812
49059,-14.853713989257812
49159,-14.10352611541748
49209,-14.403600692749023
49359,-15.003750801086426
49459,-13.503376007080078
49538,-16.204051971435547
49658,-14.403600692749023
49758,-15.153788566589355
49818,-14.553638458251953
49958,-14.853713989257812
50018,-15.003750801086426
50148,-14.403600692749023
50228,-15.303826332092285
50318,-14.403600692749023
50467,-14.10352611541748
50557,-15.003750801086426
50658,-16.354087829589844
50757,-15.903976440429688
50817,-16.354087829589844
50902,-15.003750801086426
51057,-15.003750801086426
51157,-13.653413772583008
51217,-15.153788566589355
51357,-15.003750801086426
51457,-15.003750801086426
51587,-14.10352611541748
51667,-15.153788566589355
51756,-14.403600692749023
51856,-14.10352611541748
51956,-14.403600692749023
52016,-13.203300476074219
52156,-15.603900909423828
52256,-14.853713989257812
52356,-15.153788566589355
52446,-14.403600692749023
52556,-13.353338241577148
52656,-13.353338241577148
52755,-15.603900909423828
52855,-14.853713989257812
52955,-14.403600692749023
53055,-14.853713989257812
53165,-15.903976440429688
53255,-14.853713989257812
53355,-15.303826332092285
53455,-13.95348834991455
53585,-15.303826332092285
53645,-15.153788566589355
53755,-13.503376007080078
53855,-15.453863143920898
53955,-14.853713989257812
54084,-14.25356388092041
54174,-14.25356388092041
54264,-13.653413772583008
54354,-15.453863143920898
54454,-13.653413772583008
54564,-14.10352611541748
54664,-14.10352611541748
54754,-14.853713989257812
54854,-14.25356388092041
54953,-14.10352611541748
55063,-15.453863143920898
55163,-15.153788566589355
55253,-13.653413772583008
55353,-13.95348834991455
55433,-15.003750801086426
55553,-14.25356388092041
55653,-15.003750801086426
55702,-14.553638458251953
55802,-12.753188133239746
55953,-14.853713989257812
56023,-14.853713989257812
56163,-15.303826332092285
56253,-13.95348834991455
56352,-14.853713989257812
56452,-13.203300476074219
56562,-13.503376007080078
56662,-14.25356388092041
56762,-14.10352611541748
56882,-14.10352611541748
56902,-14.553638458251953
57062,-15.603900909423828
57162,-15.153788566589355
57262,-14.853713989257812
57362,-16.354087829589844
57462,-13.353338241577148
57561,-14.10352611541748
57661,-14.403600692749023
57741,-13.95348834991455
57861,-14.403600692749023
57961,-14.553638458251953
58021,-15.153788566589355
58161,-15.153788566589355
58261,-15.453863143920898
58361,-14.403600692749023
58402,-15.153788566589355
58580,-13.95348834991455
58630,-13.95348834991455
58760,-15.303826332092285
58860,-14.553638458251953
58960,-15.903976440429688
59060,-13.95348834991455
59160,-14.853713989257812
59260,-15.453863143920898
59350,-15.003750801086426
59459,-14.403600692749023
59559,-14.403600692749023
59660,-16.354087829589844
59759,-15.303826332092285
59859,-15.153788566589355
59959,-14.553638458251953
60089,-14.25356388092041
60189,-15.603900909423828
60279,-15.303826332092285
60319,-14.403600692749023
60459,-15.153788566589355
60559,-14.10352611541748
