Time (ms), VOC density (ppb)
904986,947.0
905086,959.0
905595,972.0
906065,1001.0
906594,1038.0
907094,1063.0
907594,1105.0
908013,1132.0
908593,1141.0
909013,1130.0
909602,1102.0
910092,1009.0
910591,929.0
911013,835.0
911513,763.0
912013,713.0
912590,679.0
913099,648.0
913559,657.0
914099,671.0
914598,676.0
915098,688.0
915597,725.0
916013,759.0
916597,771.0
917106,775.0
917526,796.0
918046,779.0
918555,752.0
919098,669.0
919594,608.0
920044,591.0
920523,557.0
921093,530.0
921592,516.0
922062,507.0
922513,516.0
923091,524.0
923591,535.0
924013,570.0
924590,601.0
925090,631.0
925609,682.0
926079,711.0
926519,767.0
927078,827.0
927588,849.0
928108,921.0
928577,969.0
929097,982.0
929586,1010.0
930013,1058.0
930513,1051.0
931095,1073.0
931595,1072.0
932094,1077.0
932594,1037.0
933044,1057.0
933513,1041.0
934093,1023.0
934513,1023.0
935013,1022.0
935591,1025.0
936013,988.0
936591,972.0
937094,972.0
937590,936.0
938050,897.0
938589,873.0
939014,823.0
939513,822.0
940048,802.0
940513,794.0
941037,791.0
941513,785.0
942087,822.0
942556,846.0
943013,878.0
943555,862.0
944055,836.0
944594,810.0
945094,760.0
945513,724.0
946073,688.0
946593,645.0
947082,600.0
947592,581.0
948062,573.0
948561,568.0
949013,563.0
949590,558.0
950110,529.0
950589,518.0
951089,491.0
951513,466.0
952013,451.0
952588,436.0
953013,422.0
953527,398.0
954067,375.0
954597,354.0
955018,329.0
955595,304.0
956014,287.0
956525,269.0
957094,248.0
957534,243.0
958094,226.0
958593,227.0
959096,217.0
959593,215.0
960052,210.0
960513,199.0
961013,200.0
961513,191.0
962050,193.0
962610,191.0
963090,190.0
963589,189.0
964089,181.0
964588,186.0
965088,187.0
965514,201.0
966087,214.0
966513,218.0
967096,229.0
967596,245.0
968014,249.0
968595,254.0
969095,262.0
969594,262.0
970094,264.0
970524,255.0
971023,251.0
971593,244.0
972093,243.0
972514,226.0
973072,220.0
973592,215.0
974016,207.0
974513,193.0
975100,190.0
975513,180.0
976013,185.0
976514,184.0
977039,193.0
977513,210.0
978038,210.0
978513,216.0
979091,210.0
979607,208.0
980013,203.0
980586,183.0
981016,178.0
981513,174.0
982095,157.0
982594,147.0
983094,139.0
983593,131.0
984033,131.0
984593,119.0
985092,112.0
985602,94.0
986102,97.0
986513,91.0
987091,87.0
987570,97.0
988060,93.0
988513,101.0
989013,101.0
989589,115.0
990088,119.0
990513,133.0
991088,138.0
991513,140.0
992013,146.0
992586,153.0
993096,169.0
993596,175.0
994095,187.0
994513,200.0
995018,211.0
995594,225.0
996013,236.0
996593,241.0
997096,249.0
997532,251.0
998013,254.0
998552,261.0
999051,254.0
999601,269.0
1000104,277.0
1000590,279.0
1001013,290.0
1001513,307.0
1002089,324.0
1002519,321.0
1003013,335.0
1003588,330.0
1004027,337.0
1004597,335.0
1005017,335.0
1005556,335.0
1006036,328.0
1006596,335.0
1007025,330.0
1007565,319.0
1008094,316.0
1008594,330.0
1009104,340.0
1009593,346.0
1010013,330.0
1010562,343.0
1011052,345.0
1011591,335.0
1012013,338.0
1012591,324.0
1013091,329.0
1013610,303.0
1014100,294.0
1014519,292.0
1015089,268.0
1015532,259.0
1016061,249.0
1016598,246.0
1017061,239.0
1017527,234.0
1018097,223.0
1018556,221.0
1019013,229.0
1019595,226.0
1020035,218.0
1020594,221.0
1021013,225.0
1021594,216.0
1022093,219.0
1022563,218.0
1023093,218.0
1023592,223.0
1024092,222.0
1024513,229.0
1025031,233.0
1025590,242.0
1026090,239.0
1026590,247.0
1027013,261.0
1027513,268.0
1028029,279.0
1028588,304.0
1029048,308.0
1029514,314.0
1030013,317.0
1030513,323.0
1031096,336.0
1031596,330.0
1032106,330.0
1032595,316.0
1033094,304.0
1033594,312.0
1034013,316.0
1034583,308.0
1035043,305.0
1035593,291.0
1036065,282.0
1036592,272.0
1037092,276.0
1037591,264.0
1038091,269.0
1038590,269.0
1039090,259.0
1039529,277.0
1040093,259.0
1040569,263.0
1041013,259.0
1041568,257.0
1042058,253.0
1042597,271.0
1043027,281.0
1043566,281.0
1044096,289.0
1044556,287.0
1045065,301.0
1045565,278.0
1046013,292.0
1046513,302.0
1047093,300.0
1047593,302.0
1048013,302.0
1048582,293.0
1049092,277.0
1049592,274.0
1050031,262.0
1050513,263.0
1051090,250.0
1051590,262.0
1052090,251.0
1052559,266.0
1053089,263.0
1053558,269.0
1054088,272.0
1054588,280.0
1055016,286.0
1055597,272.0
1056096,283.0
1056596,287.0
1057096,302.0
1057595,306.0
1058069,307.0
1058594,315.0
1059097,324.0
1059534,317.0
1060097,331.0
1060593,329.0
1061093,331.0
1061602,322.0
1062062,334.0
1062591,334.0
1063013,322.0
1063590,326.0
1064090,327.0
1064560,306.0
1065089,311.0
1065513,306.0
1066013,308.0
1066538,311.0
1067088,309.0
1067578,310.0
1068087,299.0
1068577,304.0
1069076,314.0
1069546,320.0
1070013,332.0
1070595,334.0
1071094,329.0
1071594,319.0
1072094,297.0
1072594,289.0
1073093,268.0
1073593,246.0
1074092,239.0
1074592,235.0
1075091,225.0
1075581,223.0
1076091,221.0
1076600,223.0
1077090,223.0
1077599,228.0
1078062,223.0
1078589,224.0
1079013,227.0
1079588,234.0
1080048,248.0
1080537,253.0
1081100,259.0
1081596,276.0
1082100,277.0
1082513,302.0
1083075,310.0
1083513,349.0
1084054,353.0
1084513,380.0
1085013,414.0
1085563,432.0
1086073,445.0
1086592,476.0
1087092,504.0
1087522,538.0
1088101,569.0
1088513,575.0
1089090,625.0
1089530,654.0
1090090,694.0
1090589,754.0
1091089,754.0
1091588,774.0
1092078,834.0
1092588,846.0
1093097,904.0
1093517,914.0
1094087,956.0
1094586,975.0
1095096,996.0
1095514,996.0
1096016,1024.0
1096519,1048.0
1097094,1085.0
1097584,1081.0
1098057,1117.0
1098577,1118.0
1099013,1132.0
1099592,1143.0
1100092,1192.0
1100514,1210.0
1101013,1202.0
1101591,1225.0
1102080,1244.0
1102540,1267.0
1103110,1272.0
1103529,1301.0
1104089,1296.0
1104528,1313.0
1105028,1320.0
1105514,1329.0
1106097,1344.0
1106513,1342.0
1107013,1369.0
1107514,1362.0
1108096,1379.0
1108555,1390.0
1109013,1416.0
1109594,1439.0
1110104,1425.0
1110603,1439.0
1111053,1462.0
1111593,1464.0
1112092,1503.0
1112513,1466.0
1113022,1554.0
1113531,1485.0
1114091,1512.0
1114590,1471.0
1115020,1473.0
1115513,1496.0
1116013,1526.0
1116513,1552.0
1117069,1573.0
1117598,1593.0
1118013,1628.0
1118597,1600.0
1119091,1623.0
1119513,1651.0
1120036,1656.0
1120513,1616.0
1121065,1639.0
1121535,1621.0
1122013,1598.0
1122584,1584.0
1123094,1573.0
1123523,1531.0
1124093,1563.0
1124513,1547.0
1125014,1579.0
1125552,1577.0
1126082,1579.0
1126561,1573.0
1127101,1589.0
1127560,1575.0
1128110,1589.0
1128590,1623.0
1129049,1605.0
1129513,1619.0
1130014,1646.0
1130588,1633.0
1131087,1690.0
1131517,1681.0
1132013,1725.0
1132536,1750.0
1133106,1796.0
1133596,1803.0
1134095,1764.0
1134595,1780.0
1135074,1866.0
1135594,1815.0
1136044,1815.0
1136513,1780.0
1137113,1815.0
1137592,1764.0
1138076,1773.0
1138592,1757.0
1139014,1732.0
1139513,1762.0
1140091,1743.0
1140513,1741.0
1141013,1778.0
1141589,1764.0
1142019,1799.0
1142588,1766.0
1143088,1836.0
1143588,1850.0
1144013,1840.0
1144527,1873.0
1145013,1850.0
1145526,1813.0
1146013,1753.0
1146595,1667.0
1147013,1563.0
1147595,1455.0
1148013,1331.0
1148594,1261.0
1149094,1213.0
