Time (ms), Time (seconds)
904959,0.0
905060,0.0
906079,0.0
907098,0.0
908027,0.0
909076,0.0
910055,0.0
911084,0.0
912043,0.0
913082,0.0
914002,0.0
915080,0.0
916001,0.0
917079,0.0
918078,0.0
919077,0.0
920001,0.0
921075,0.0
922064,0.0
923083,0.0
924083,0.0
925081,0.0
926100,0.0
927080,0.0
928079,0.0
929001,0.0
930107,0.0
931001,0.0
932001,0.0
933001,0.0
934083,0.0
935016,0.0
936035,0.0
937044,0.0
938020,0.0
939079,0.0
940001,0.0
941077,0.0
942001,0.0
943015,0.0
944005,0.0
945084,0.0
946013,0.0
947042,0.0
948001,0.0
949110,0.0
950079,0.0
951078,0.0
952001,0.0
953077,0.0
954106,0.0
955018,0.0
956084,0.0
957083,0.0
958082,0.0
959031,0.0
960080,0.0
961079,0.0
962002,0.0
963008,0.0
964077,0.0
965075,0.0
966094,0.0
967024,0.0
968083,0.0
969082,0.0
970081,0.0
971080,0.0
972079,0.0
973078,0.0
974001,0.0
975010,0.0
976096,0.0
977015,0.0
978094,0.0
979001,0.0
980086,0.0
981061,0.0
982100,0.0
983039,0.0
984079,0.0
985077,0.0
986076,0.0
987002,0.0
988001,0.0
989084,0.0
990001,0.0
991082,0.0
992081,0.0
993080,0.0
994001,0.0
995078,0.0
996021,0.0
997097,0.0
998059,0.0
999025,0.0
1000004,0.0
1001086,0.0
1002082,0.0
1003081,0.0
1004081,0.0
1005079,0.0
1006078,0.0
1007078,0.0
1008077,0.0
1009076,0.0
1010075,0.0
1011024,0.0
1012033,0.0
1013082,0.0
1014041,0.0
1015080,0.0
1016079,0.0
1017001,0.0
1018028,0.0
1019027,0.0
1020001,0.0
1021001,0.0
1022084,0.0
1023083,0.0
1024001,0.0
1025001,0.0
1026081,0.0
1027001,0.0
1028079,0.0
1029078,0.0
1030007,0.0
1031076,0.0
1032075,0.0
1033015,0.0
1034024,0.0
1035001,0.0
1036042,0.0
1037081,0.0
1038002,0.0
1039079,0.0
1040078,0.0
1041077,0.0
1042026,0.0
1043076,0.0
1044035,0.0
1045084,0.0
1046023,0.0
1047082,0.0
1048051,0.0
1049070,0.0
1050030,0.0
1051039,0.0
1052002,0.0
1053077,0.0
1054002,0.0
1055001,0.0
1056004,0.0
1057113,0.0
1058082,0.0
1059021,0.0
1060001,0.0
1061093,0.0
1062079,0.0
1063078,0.0
1064001,0.0
1065016,0.0
1066055,0.0
1067085,0.0
1068001,0.0
1069102,0.0
1070001,0.0
1071041,0.0
1072080,0.0
1073049,0.0
1074068,0.0
1075077,0.0
1076077,0.0
1077009,0.0
1078095,0.0
1079084,0.0
1080076,0.0
1081086,0.0
1082002,0.0
1083080,0.0
1084079,0.0
1085078,0.0
1086078,0.0
1087077,0.0
1088076,0.0
1089001,0.0
1090074,0.0
1091073,0.0
1092082,0.0
1093092,0.0
1094001,0.0
1095001,0.0
