Time (ms), X Acceleration (g)
904888,-0.96435546875
904985,-0.97216796875
905089,-0.97216796875
905169,-0.97021484375
905259,-0.96875
905302,-0.9716796875
905459,-0.96630859375
905503,-0.9677734375
905606,-0.97021484375
905768,-0.974609375
905802,-0.97509765625
905948,-0.97021484375
906005,-0.97021484375
906104,-0.96826171875
906258,-0.978515625
906302,-0.97021484375
906448,-0.970703125
906504,-0.9677734375
906604,-0.96484375
906768,-0.96728515625
906802,-0.966796875
906907,-0.966796875
907018,-0.96484375
907111,-0.9609375
907202,-0.96875
907367,-0.96337890625
907402,-0.9677734375
907530,-0.97802734375
907617,-0.9697265625
907757,-0.97265625
907802,-0.9755859375
907902,-0.9765625
908056,-0.97900390625
908156,-0.97021484375
908202,-0.970703125
908376,-0.97900390625
908402,-0.97265625
908530,-0.96630859375
908616,-0.96533203125
908786,-0.9658203125
908802,-0.978515625
908902,-0.97216796875
909005,-0.97998046875
909175,-0.97216796875
909202,-0.97021484375
909302,-0.9677734375
909402,-0.9677734375
909575,-0.96728515625
909602,-0.98095703125
909705,-0.966796875
909802,-0.97900390625
909902,-0.97802734375
910084,-0.96435546875
910102,-0.97802734375
910214,-0.97412109375
910302,-0.9716796875
910402,-0.97314453125
910518,-0.9736328125
910608,-0.974609375
910702,-0.97021484375
910802,-0.96484375
910902,-0.9658203125
911004,-0.978515625
911111,-0.96484375
911202,-0.97216796875
911302,-0.97021484375
911463,-0.9658203125
911573,-0.97509765625
911602,-0.96875
911702,-0.9697265625
911802,-0.96630859375
911973,-0.96728515625
912072,-0.96728515625
912102,-0.97021484375
912202,-0.96923828125
912313,-0.97021484375
912472,-0.9658203125
912505,-0.9638671875
912608,-0.96630859375
912722,-0.9697265625
912802,-0.970703125
912902,-0.9697265625
913005,-0.97314453125
913109,-0.95849609375
913222,-0.9736328125
913362,-0.96484375
913402,-0.97021484375
913530,-0.97509765625
913611,-0.97021484375
913702,-0.9697265625
913802,-0.97021484375
913902,-0.96533203125
914031,-0.9697265625
914102,-0.9736328125
914202,-0.970703125
914351,-0.98095703125
914402,-0.9658203125
914550,-0.97412109375
914602,-0.97216796875
914740,-0.96728515625
914802,-0.9697265625
914930,-0.96435546875
915008,-0.97314453125
915106,-0.96875
915202,-0.97216796875
915302,-0.97265625
915480,-0.96630859375
915535,-0.9755859375
915610,-0.96484375
915702,-0.97216796875
915802,-0.96875
915979,-0.9697265625
916033,-0.9775390625
916119,-0.978515625
916269,-0.9736328125
916302,-0.97900390625
916402,-0.974609375
916508,-0.96826171875
916605,-0.96875
916759,-0.9775390625
916802,-0.9716796875
916938,-0.96630859375
917005,-0.974609375
917104,-0.97216796875
917268,-0.98193359375
917302,-0.96630859375
917402,-0.97216796875
917505,-0.9716796875
917603,-0.9697265625
917758,-0.9638671875
917802,-0.97802734375
917938,-0.96337890625
918005,-0.97265625
918104,-0.9609375
918237,-0.9697265625
918317,-0.96826171875
918402,-0.97216796875
918530,-0.95947265625
918617,-0.9716796875
918707,-0.9736328125
918857,-0.98046875
918902,-0.97216796875
919005,-0.97021484375
919102,-0.97607421875
919202,-0.96923828125
919302,-0.96826171875
919402,-0.96875
919530,-0.97265625
919616,-0.97021484375
919736,-0.970703125
919802,-0.97607421875
919926,-0.96826171875
920030,-0.96533203125
920116,-0.97412109375
920255,-0.96826171875
920302,-0.966796875
920402,-0.974609375
920530,-0.9697265625
920615,-0.970703125
920705,-0.974609375
920825,-0.974609375
920902,-0.9609375
921003,-0.97509765625
921106,-0.966796875
921275,-0.9716796875
921302,-0.97021484375
921402,-0.97216796875
921534,-0.96826171875
921602,-0.97021484375
921702,-0.96923828125
921802,-0.974609375
921902,-0.9658203125
922093,-0.9716796875
922102,-0.97265625
922202,-0.966796875
922302,-0.9736328125
922402,-0.96728515625
922505,-0.96923828125
922609,-0.97412109375
922702,-0.97265625
922863,-0.9755859375
922953,-0.97216796875
923004,-0.9736328125
923111,-0.9677734375
923202,-0.97216796875
923313,-0.97021484375
923402,-0.96923828125
923505,-0.96337890625
923608,-0.970703125
923732,-0.97900390625
923803,-0.96923828125
923902,-0.97021484375
924005,-0.9775390625
924108,-0.9775390625
924262,-0.97314453125
924302,-0.97314453125
924462,-0.970703125
924504,-0.9697265625
924608,-0.9716796875
924731,-0.96630859375
924862,-0.9638671875
924971,-0.974609375
925004,-0.9716796875
925109,-0.9697265625
925281,-0.9716796875
925302,-0.9658203125
925431,-0.974609375
925590,-0.97705078125
925602,-0.96826171875
925702,-0.97216796875
925802,-0.9736328125
925902,-0.97021484375
926030,-0.97216796875
926110,-0.9716796875
926240,-0.96533203125
926320,-0.9638671875
926480,-0.974609375
926540,-0.96923828125
926602,-0.97412109375
926702,-0.9736328125
926860,-0.96826171875
926902,-0.97216796875
927004,-0.96875
927107,-0.970703125
927202,-0.970703125
927302,-0.96923828125
927459,-0.96875
927530,-0.966796875
927619,-0.97021484375
927709,-0.96630859375
927802,-0.9638671875
927902,-0.97705078125
928005,-0.96484375
928104,-0.97314453125
928202,-0.9658203125
928368,-0.98388671875
928402,-0.966796875
928530,-0.97802734375
928618,-0.9755859375
928708,-0.96484375
928802,-0.9619140625
928902,-0.96484375
929030,-0.96923828125
929118,-0.97314453125
929207,-0.97802734375
929302,-0.96728515625
929402,-0.9716796875
929587,-0.96435546875
929607,-0.96240234375
929702,-0.97265625
929802,-0.97705078125
929917,-0.96533203125
930030,-0.98388671875
930117,-0.9736328125
930207,-0.97021484375
930302,-0.96923828125
930402,-0.96923828125
930505,-0.98046875
930603,-0.9853515625
930702,-0.970703125
930816,-0.96630859375
930902,-0.9755859375
931030,-0.97509765625
931116,-0.966796875
931206,-0.9755859375
931302,-0.96728515625
931402,-0.96533203125
931505,-0.9775390625
931675,-0.97509765625
931702,-0.97705078125
931815,-0.974609375
931902,-0.966796875
932030,-0.9716796875
932115,-0.96826171875
932245,-0.9716796875
932302,-0.96240234375
932402,-0.96435546875
932505,-0.970703125
932610,-0.96630859375
932702,-0.96826171875
932864,-0.9619140625
932924,-0.9736328125
933030,-0.96630859375
933114,-0.98046875
933204,-0.9677734375
933302,-0.99267578125
933402,-0.98046875
933533,-0.9990234375
933602,-0.98681640625
933714,-0.8544921875
933802,-0.99267578125
933902,-0.9619140625
934004,-0.9580078125
934111,-0.97607421875
934233,-0.97021484375
934302,-0.95703125
934402,-0.8994140625
934531,-0.8701171875
934603,-0.99365234375
934702,-0.9150390625
934802,-0.96630859375
934902,-0.982421875
935045,-0.9716796875
935102,-0.9765625
935202,-1.02001953125
935302,-0.95849609375
935462,-1.02392578125
935502,-1.09912109375
935610,-1.251953125
935702,-1.05029296875
935802,-0.890625
935962,-0.96240234375
936064,-1.02978515625
936151,-1.1748046875
936271,-0.8447265625
936302,-0.91162109375
936402,-1.013671875
936508,-1.01416015625
936606,-0.654296875
936702,-0.97900390625
936802,-1.05029296875
936902,-1.037109375
937074,-0.7548828125
937111,-0.80810546875
937202,-0.99755859375
937302,-1.11767578125
937460,-1.05859375
937504,-1.09033203125
937607,-0.923828125
937702,-0.76025390625
937802,-0.681640625
937902,-0.9248046875
938052,-1.24462890625
938109,-1.271484375
938220,-1.18310546875
938302,-0.77880859375
938449,-0.99169921875
938505,-1.00927734375
938606,-1.0732421875
938702,-0.876953125
938802,-0.77685546875
938929,-0.8017578125
939002,-1.001953125
939112,-1.236328125
939202,-1.04150390625
939302,-0.94580078125
939402,-0.7099609375
939530,-0.89990234375
939618,-1.14013671875
939748,-1.07568359375
939878,-0.60546875
939902,-0.58984375
940030,-0.89208984375
940118,-1.17138671875
940208,-1.3876953125
940302,-1.04345703125
940458,-0.60302734375
940530,-0.79345703125
