Date    ,Time    ,Latitude  ,Longitude ,Head,Km/h,Alt-m  ,Lock,  ,Temp C,Pa    ,
02/28/35,15:49:36,+034.67784,-117.82426,0110,0000,+000796,0003,  ,+008.3,093712,
02/28/35,15:49:42,+034.67784,-117.82426,0110,0000,+000796,0003,  ,+008.3,093531,
02/28/35,15:49:48,+034.67785,-117.82426,0110,0000,+000797,0003,  ,+008.5,093518,
02/28/35,15:49:54,+034.67785,-117.82426,0110,0000,+000797,0003,  ,+008.8,093522,
02/28/35,15:50:00,+034.67785,-117.82426,0110,0000,+000797,0003,  ,+009.0,093528,
02/28/35,15:50:06,+034.67785,-117.82426,0110,0000,+000797,0003,  ,+009.2,093517,
02/28/35,15:50:12,+034.67785,-117.82425,0110,0000,+000797,0003,  ,+009.3,093624,
02/28/35,15:50:18,+034.67785,-117.82425,0110,0000,+000798,0003,  ,+009.2,093660,
02/28/35,15:50:24,+034.67785,-117.82425,0110,0000,+000798,0003,  ,+009.1,093544,
02/28/35,15:50:30,+034.67785,-117.82425,0110,0000,+000798,0003,  ,+009.0,093696,
02/28/35,15:50:36,+034.67784,-117.82424,0110,0000,+000798,0003,  ,+009.1,093552,
02/28/35,15:50:42,+034.67784,-117.82423,0110,0000,+000797,0003,  ,+009.1,093551,
02/28/35,15:50:48,+034.67785,-117.82423,0110,0000,+000799,0003,  ,+009.2,093548,
02/28/35,15:50:54,+034.67785,-117.82423,0110,0000,+000799,0003,  ,+009.3,093548,
02/28/35,15:51:00,+034.67785,-117.82423,0110,0000,+000799,0003,  ,+009.5,093552,
02/28/35,15:51:06,+034.67785,-117.82423,0110,0000,+000799,0003,  ,+009.6,093557,
02/28/35,15:51:12,+034.67785,-117.82423,0110,0000,+000799,0003,  ,+009.6,093555,
02/28/35,15:51:18,+034.67785,-117.82423,0110,0000,+000799,0003,  ,+009.7,093558,
02/28/35,15:51:24,+034.67785,-117.82423,0110,0000,+000799,0003,  ,+009.7,093557,
02/28/35,15:51:30,+034.67785,-117.82423,0110,0000,+000799,0003,  ,+009.8,093562,
02/28/35,15:51:36,+034.67785,-117.82423,0110,0000,+000799,0003,  ,+009.8,093567,
02/28/35,15:51:42,+034.67785,-117.82423,0110,0000,+000799,0003,  ,+009.8,093559,
02/28/35,15:51:48,+034.67785,-117.82423,0110,0000,+000799,0003,  ,+009.7,093565,
02/28/35,15:51:54,+034.67786,-117.82422,0110,0000,+000799,0003,  ,+009.7,093569,
02/28/35,15:52:00,+034.67786,-117.82422,0110,0000,+000799,0003,  ,+009.7,093563,
02/28/35,15:52:06,+034.67786,-117.82422,0110,0000,+000799,0003,  ,+009.7,093571,
02/28/35,15:52:12,+034.67786,-117.82422,0110,0000,+000799,0003,  ,+009.7,093570,
02/28/35,15:52:18,+034.67786,-117.82422,0110,0000,+000799,0003,  ,+009.8,093567,
02/28/35,15:52:24,+034.67786,-117.82422,0110,0000,+000799,0003,  ,+009.8,093562,
02/28/35,15:52:30,+034.67786,-117.82422,0110,0000,+000799,0003,  ,+009.9,093562,
02/28/35,15:52:36,+034.67786,-117.82422,0110,0000,+000799,0003,  ,+010.0,093560,
02/28/35,15:52:42,+034.67786,-117.82422,0110,0000,+000799,0003,  ,+009.8,093569,
02/28/35,15:52:48,+034.67786,-117.82423,0110,0000,+000799,0003,  ,+009.5,093658,
02/28/35,15:52:54,+034.67786,-117.82423,0110,0000,+000799,0003,  ,+009.1,093589,
02/28/35,15:53:00,+034.67786,-117.82423,0110,0000,+000799,0003,  ,+008.9,093594,
02/28/35,15:53:06,+034.67786,-117.82423,0110,0000,+000799,0003,  ,+008.7,093594,
02/28/35,15:53:12,+034.67786,-117.82423,0110,0000,+000799,0003,  ,+008.6,093642,
02/28/35,15:53:18,+034.67786,-117.82423,0110,0000,+000799,0003,  ,+008.5,093604,
02/28/35,15:53:24,+034.67786,-117.82423,0110,0000,+000799,0003,  ,+008.3,093605,
02/28/35,15:53:30,+034.67786,-117.82423,0110,0000,+000799,0003,  ,+008.2,093588,
02/28/35,15:53:36,+034.67786,-117.82423,0110,0000,+000799,0003,  ,+008.1,093601,
02/28/35,15:53:42,+034.67786,-117.82423,0110,0000,+000799,0003,  ,+008.1,093605,
02/28/35,15:53:48,+034.67786,-117.82423,0110,0000,+000799,0003,  ,+008.0,093599,
02/28/35,15:53:54,+034.67786,-117.82423,0110,0000,+000799,0003,  ,+008.0,093598,
02/28/35,15:54:00,+034.67787,-117.82423,0110,0000,+000800,0003,  ,+007.9,093597,
02/28/35,15:54:06,+034.67787,-117.82423,0110,0000,+000800,0003,  ,+007.8,093600,
02/28/35,15:54:12,+034.67787,-117.82423,0110,0000,+000800,0003,  ,+007.8,093601,
02/28/35,15:54:18,+034.67787,-117.82423,0110,0000,+000800,0003,  ,+007.8,093597,
02/28/35,15:54:24,+034.67787,-117.82423,0110,0000,+000800,0003,  ,+007.8,093590,
02/28/35,15:54:30,+034.67787,-117.82423,0110,0000,+000800,0003,  ,+007.8,093590,
02/28/35,15:54:36,+034.67787,-117.82423,0110,0000,+000800,0003,  ,+007.7,093598,
02/28/35,15:54:42,+034.67787,-117.82423,0110,0000,+000800,0003,  ,+007.7,093586,
02/28/35,15:54:48,+034.67787,-117.82422,0110,0000,+000800,0003,  ,+007.7,093600,
02/28/35,15:54:54,+034.67787,-117.82422,0110,0000,+000800,0003,  ,+007.6,093602,
02/28/35,15:55:00,+034.67787,-117.82422,0110,0000,+000800,0003,  ,+007.6,093589,
02/28/35,15:55:06,+034.67787,-117.82422,0110,0000,+000800,0003,  ,+007.6,093590,
02/28/35,15:55:12,+034.67787,-117.82422,0110,0000,+000800,0003,  ,+007.6,093597,
02/28/35,15:55:18,+034.67787,-117.82422,0110,0000,+000800,0003,  ,+007.6,093598,
02/28/35,15:55:24,+034.67787,-117.82422,0110,0000,+000800,0003,  ,+007.6,093599,
02/28/35,15:55:30,+034.67787,-117.82422,0110,0000,+000800,0003,  ,+007.6,093591,
02/28/35,15:55:36,+034.67787,-117.82421,0110,0000,+000800,0003,  ,+007.6,093599,
02/28/35,15:55:42,+034.67787,-117.82421,0110,0000,+000800,0003,  ,+007.6,093607,
02/28/35,15:55:48,+034.67787,-117.82421,0110,0000,+000800,0003,  ,+007.5,093607,
02/28/35,15:55:54,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.4,093601,
02/28/35,15:56:00,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.3,093597,
02/28/35,15:56:06,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.2,093599,
02/28/35,15:56:12,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.1,093606,
02/28/35,15:56:18,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.0,093602,
02/28/35,15:56:24,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.0,093602,
02/28/35,15:56:30,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.0,093594,
02/28/35,15:56:36,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+006.9,093712,
02/28/35,15:56:42,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+006.9,093591,
02/28/35,15:56:48,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.0,093572,
02/28/35,15:56:54,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.0,093578,
02/28/35,15:57:00,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.1,093576,
02/28/35,15:57:06,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.2,093589,
02/28/35,15:57:12,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.3,093592,
02/28/35,15:57:18,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.4,093669,
02/28/35,15:57:24,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.3,093707,
02/28/35,15:57:30,+034.67787,-117.82421,0110,0000,+000800,0003,  ,+007.3,093668,
02/28/35,15:57:36,+034.67787,-117.82421,0110,0000,+000800,0003,  ,+007.1,093650,
02/28/35,15:57:42,+034.67787,-117.82421,0110,0000,+000800,0003,  ,+007.1,093656,
02/28/35,15:57:48,+034.67786,-117.82421,0110,0000,+000800,0003,  ,+007.1,093672,
02/28/35,15:57:54,+034.67786,-117.82421,0110,0000,+000800,0003,  ,+007.1,093672,
02/28/35,15:58:00,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+007.1,093677,
02/28/35,15:58:06,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+006.8,093666,
02/28/35,15:58:12,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+006.7,093679,
02/28/35,15:58:18,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+006.5,093687,
02/28/35,15:58:24,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+006.4,093686,
02/28/35,15:58:30,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+006.3,093684,
02/28/35,15:58:36,+034.67787,-117.82420,0110,0000,+000800,0003,  ,+006.1,093681,
02/28/35,15:58:42,+034.67788,-117.82426,0285,0005,+000802,0003,  ,+006.0,093364,
02/28/35,15:58:48,+034.67791,-117.82436,0280,0007,+000809,0003,  ,+006.3,093078,
02/28/35,15:58:54,+034.67790,-117.82446,0272,0005,+000822,0003,  ,+007.3,092534,
02/28/35,15:59:00,+034.67792,-117.82453,0280,0003,+000832,0003,  ,+008.5,092292,
02/28/35,15:59:06,+034.67801,-117.82467,0311,0012,+000840,0003,  ,+009.6,091922,
02/28/35,15:59:12,+034.67812,-117.82487,0305,0016,+000848,0003,  ,+010.8,090423,
02/28/35,15:59:18,+034.67834,-117.82504,0326,0022,+000854,0003,  ,+011.5,091273,
02/28/35,15:59:24,+034.67859,-117.82532,0322,0022,+000859,0003,  ,+012.1,089517,
02/28/35,15:59:30,+034.67879,-117.82562,0295,0020,+000864,0003,  ,+012.5,090690,
02/28/35,15:59:36,+034.67891,-117.82583,0328,0016,+000880,0003,  ,+012.8,090335,
02/28/35,15:59:42,+034.67897,-117.82610,0289,0016,+000903,0003,  ,+013.0,088480,
02/28/35,15:59:48,+034.67905,-117.82635,0311,0018,+000921,0003,  ,+013.1,089725,
02/28/35,15:59:54,+034.67898,-117.82670,0264,0022,+000950,0003,  ,+013.1,089394,
02/28/35,16:00:00,+034.67892,-117.82703,0271,0022,+000981,0003,  ,+013.0,089036,
02/28/35,16:00:06,+034.67890,-117.82732,0277,0012,+001023,0003,  ,+013.0,087163,
02/28/35,16:00:12,+034.67870,-117.82784,0265,0027,+001074,0003,  ,+012.8,088392,
02/28/35,16:00:18,+034.67861,-117.82818,0253,0022,+001123,0003,  ,+012.8,086483,
02/28/35,16:00:24,+034.67836,-117.82849,0234,0025,+001170,0003,  ,+012.6,087717,
02/28/35,16:00:30,+034.67820,-117.82898,0249,0031,+001214,0003,  ,+012.5,087348,
02/28/35,16:00:36,+034.67791,-117.82934,0222,0029,+001247,0003,  ,+012.4,087032,
02/28/35,16:00:42,+034.67765,-117.82987,0244,0035,+001279,0003,  ,+012.2,086726,
02/28/35,16:00:48,+034.67734,-117.83027,0217,0031,+001317,0003,  ,+012.1,086420,
02/28/35,16:00:54,+034.67688,-117.83063,0218,0027,+001353,0003,  ,+012.1,084500,
02/28/35,16:01:00,+034.67660,-117.83109,0234,0037,+001389,0003,  ,+011.8,085778,
02/28/35,16:01:06,+034.67623,-117.83147,0213,0027,+001422,0003,  ,+011.8,084016,
02/28/35,16:01:12,+034.67589,-117.83177,0219,0027,+001453,0003,  ,+011.7,084402,
02/28/35,16:01:18,+034.67549,-117.83228,0235,0040,+001488,0003,  ,+011.4,084858,
02/28/35,16:01:24,+034.67515,-117.83275,0221,0031,+001524,0003,  ,+011.2,084506,
02/28/35,16:01:30,+034.67478,-117.83333,0239,0042,+001558,0003,  ,+011.1,084132,
02/28/35,16:01:36,+034.67450,-117.83392,0234,0038,+001591,0003,  ,+010.8,083878,
02/28/35,16:01:42,+034.67401,-117.83430,0216,0038,+001626,0003,  ,+010.6,081976,
02/28/35,16:01:48,+034.67362,-117.83483,0230,0035,+001662,0003,  ,+010.4,083208,
02/28/35,16:01:54,+034.67318,-117.83522,0218,0038,+001697,0003,  ,+010.2,082884,
02/28/35,16:02:00,+034.67273,-117.83575,0225,0037,+001733,0003,  ,+010.1,081763,
02/28/35,16:02:06,+034.67225,-117.83617,0216,0044,+001768,0003,  ,+009.8,081204,
02/28/35,16:02:12,+034.67173,-117.83678,0226,0046,+001804,0003,  ,+009.6,081863,
02/28/35,16:02:18,+034.67112,-117.83734,0213,0046,+001841,0003,  ,+009.5,080171,
02/28/35,16:02:24,+034.67062,-117.83799,0228,0053,+001878,0003,  ,+009.2,081231,
02/28/35,16:02:30,+034.66997,-117.83862,0216,0053,+001911,0003,  ,+009.0,079366,
02/28/35,16:02:36,+034.66940,-117.83934,0233,0055,+001945,0003,  ,+008.8,080570,
02/28/35,16:02:42,+034.66888,-117.84021,0236,0057,+001972,0003,  ,+008.9,078947,
02/28/35,16:02:48,+034.66839,-117.84095,0228,0053,+002000,0003,  ,+008.6,080058,
02/28/35,16:02:54,+034.66787,-117.84169,0231,0050,+002039,0003,  ,+008.5,079681,
02/28/35,16:03:00,+034.66732,-117.84235,0228,0050,+002081,0003,  ,+008.3,078908,
02/28/35,16:03:06,+034.66685,-117.84291,0219,0044,+002120,0003,  ,+008.0,079082,
02/28/35,16:03:12,+034.66641,-117.84359,0235,0048,+002161,0003,  ,+007.7,078754,
02/28/35,16:03:18,+034.66600,-117.84412,0227,0048,+002191,0003,  ,+007.6,078459,
02/28/35,16:03:24,+034.66549,-117.84490,0239,0050,+002230,0003,  ,+007.4,078174,
02/28/35,16:03:30,+034.66504,-117.84571,0231,0044,+002265,0003,  ,+007.3,076368,
02/28/35,16:03:36,+034.66456,-117.84636,0229,0044,+002303,0003,  ,+007.0,077541,
02/28/35,16:03:42,+034.66420,-117.84709,0240,0051,+002336,0003,  ,+006.8,077284,
02/28/35,16:03:48,+034.66373,-117.84775,0226,0042,+002365,0003,  ,+006.7,075466,
02/28/35,16:03:54,+034.66346,-117.84830,0244,0046,+002398,0003,  ,+006.6,076596,
02/28/35,16:04:00,+034.66299,-117.84910,0227,0040,+002431,0003,  ,+006.3,075301,
02/28/35,16:04:06,+034.66272,-117.84975,0248,0044,+002464,0003,  ,+006.0,076217,
