Time (ms), Air Pressure (P)
4581,94910.671875
5103,98739.28125
5501,98755.515625
6029,98753.8828125
6501,98750.90625
7001,98744.6875
7501,98755.515625
8104,98746.5625
8501,98746.5625
9001,98748.203125
9612,98755.515625
10113,98755.515625
10608,98754.6875
11048,98743.859375
11501,98750.109375
12026,98750.109375
12501,98755.515625
13026,98746.5625
13501,98747.40625
14027,98756.328125
14526,98746.5625
15094,98745.5
15604,98746.5625
16001,98746.5625
16533,98744.6875
17026,98750.109375
17572,98748.203125
18026,98749.2734375
18501,98749.2734375
19061,98744.6875
19560,98756.328125
20026,98754.6875
20599,98756.59375
21001,98748.46875
21501,98747.640625
22078,98743.0546875
22501,98749.2734375
23077,98745.765625
23587,98745.765625
24106,98745.5
24606,98746.5625
25085,98749.2734375
25595,98744.921875
26058,98748.46875
26514,98749.2734375
27107,98747.40625
27501,98747.40625
28033,98749.0390625
28605,98745.5
29001,98750.90625
29526,98743.859375
30001,98746.5625
30501,98750.109375
31100,98749.2734375
31609,98745.5
32109,98747.40625
32501,98747.40625
33026,98744.6875
33578,98750.109375
34097,98749.2734375
34501,98744.921875
35107,98748.46875
35546,98748.46875
36076,98748.46875
36605,98746.5625
37026,98749.2734375
37501,98743.859375
38104,98746.5625
38501,98741.15625
39001,98741.15625
39501,98748.203125
40032,98742.7890625
40602,98743.625
41102,98743.625
41501,98741.75
42001,98745.265625
42501,98744.1875
43070,98744.1875
43514,98742.546875
44001,98746.09375
44501,98745.0234375
45029,98746.09375
45597,98746.8984375
46029,98747.734375
46606,98741.25
47001,98746.6640625
47527,98743.953125
48001,98743.953125
48501,98751.0390625
49054,98746.421875
49564,98742.6484375
50063,98741.609375
50563,98745.953125
51106,98742.171875
51501,98742.171875
52052,98744.890625
52601,98743.015625
53031,98738.3984375
53501,98741.109375
54100,98748.9921875
54609,98747.921875
55001,98747.921875
55501,98744.984375
56001,98747.6875
56608,98746.6171875
57001,98749.328125
57526,98762.859375
58001,98814.3125
58526,98812.4375
59027,98807.0234375
