Time (ms), Relative Humidity (percent)
4582,40.720703125
5103,43.0048828125
5502,42.9833984375
6030,42.8447265625
6502,42.931640625
7002,42.9736328125
7502,42.9736328125
8104,42.791015625
8502,42.962890625
9002,42.953125
9613,42.8125
10113,42.962890625
10608,43.0048828125
11048,42.9521484375
11502,43.037109375
12026,42.962890625
12502,42.962890625
13026,42.962890625
13502,42.9736328125
14027,42.9736328125
14526,42.962890625
15094,43.048828125
15604,42.94140625
16002,42.9306640625
16533,42.9306640625
17026,42.9306640625
17572,42.91015625
18026,42.8984375
18502,42.9091796875
19061,42.9091796875
19560,42.8994140625
20026,43.015625
20599,42.8984375
21002,42.919921875
21502,42.7373046875
22078,42.9091796875
22502,42.9091796875
23077,42.8984375
23587,42.9091796875
24001,42.8876953125
24501,42.888671875
25085,43.1337890625
25595,42.88671875
26058,42.8876953125
26514,42.8984375
27107,42.876953125
27502,42.8876953125
28037,42.87890625
28605,42.8671875
29002,42.8564453125
29526,42.85546875
30002,42.8447265625
30502,42.85546875
31100,42.8447265625
31501,42.833984375
32109,42.8984375
32502,42.8447265625
33026,42.876953125
33578,42.919921875
34097,42.9521484375
34502,42.982421875
35107,42.994140625
35546,43.0048828125
36076,43.0048828125
36605,43.0048828125
37026,43.0048828125
37502,42.9833984375
38001,42.9833984375
38502,42.9736328125
39002,43.0048828125
39502,43.0595703125
40032,43.134765625
40602,43.2099609375
41102,43.3173828125
41502,43.5
42002,43.6171875
42502,43.7255859375
43070,43.939453125
43514,43.86328125
44002,43.8310546875
44502,43.8017578125
45029,43.7568359375
45597,43.7255859375
46030,43.7587890625
46606,43.8125
47002,43.791015625
47527,43.748046875
48002,43.8017578125
48502,43.814453125
49054,43.888671875
49564,44.2744140625
50063,44.2119140625
50563,44.330078125
51001,44.3505859375
51502,44.4697265625
52052,44.56640625
52601,44.705078125
53031,44.78125
53502,44.716796875
54001,44.7822265625
54501,44.8359375
55002,44.8271484375
55502,44.6884765625
56002,44.625
56608,44.5400390625
57002,44.4443359375
57526,44.326171875
58002,44.1767578125
58526,44.015625
59027,43.833984375
59502,43.70703125
60055,43.8037109375
60526,43.47265625
61002,43.3876953125
61603,43.32421875
62002,43.2919921875
62502,43.2275390625
63032,42.9501953125
63502,43.15234375
64002,42.875
64541,43.068359375
65005,43.078125
65530,43.0478515625
66063,43.02734375
66530,43.005859375
67062,42.984375
67582,42.962890625
68014,42.9736328125
68514,42.8779296875
69110,42.9423828125
69527,42.931640625
70002,42.9111328125
70502,42.9228515625
71027,43.37109375
71502,42.900390625
72014,42.64453125
72604,42.8798828125
73103,43.052734375
73526,42.8603515625
74063,42.8603515625
74602,42.849609375
75102,42.7001953125
75502,42.849609375
76081,42.828125
76502,42.83984375
77002,42.8193359375
77599,42.796875
78014,42.818359375
78599,42.80859375
79098,42.787109375
79578,42.80859375
80107,42.798828125
80537,42.7880859375
81002,42.77734375
81526,42.7763671875
82002,42.7451171875
82536,42.724609375
83065,42.7021484375
83502,42.681640625
84026,42.703125
84584,42.681640625
85053,42.6728515625
85502,42.671875
86001,42.681640625
86530,42.6513671875
87030,42.767578125
87601,42.544921875
88014,42.5771484375
88530,42.6513671875
89103,42.5869140625
89514,42.640625
90002,42.6201171875
90502,42.6201171875
91078,42.6201171875
91502,42.6220703125
92111,42.599609375
92501,42.599609375
93002,42.6103515625
93514,42.82421875
94002,42.6015625
94605,42.6015625
95002,42.580078125
95584,42.5908203125
96026,42.5908203125
96526,42.580078125
97002,42.591796875
97603,42.5927734375
98102,42.5283203125
98514,42.58203125
99026,42.5712890625
99527,43.0634765625
100026,42.560546875
100550,42.560546875
101050,42.560546875
101502,42.560546875
102069,42.5498046875
102598,42.6259765625
103002,42.6259765625
103502,42.541015625
104002,42.51953125
104547,42.5087890625
105002,42.5087890625
105502,42.4873046875
106031,42.4873046875
106605,42.4775390625
107026,42.34765625
107558,42.466796875
108026,42.4677734375
108502,42.4677734375
109107,42.45703125
109502,42.45703125
110106,42.45703125
110502,42.4462890625
111002,42.435546875
111527,42.4248046875
112080,42.416015625
112502,42.4052734375
113030,43.0498046875
113599,42.4072265625
114002,42.396484375
114514,42.53515625
115029,42.39453125
115567,42.4052734375
116002,42.396484375
116607,42.396484375
117026,42.396484375
117536,42.375
118026,42.38671875
118501,42.3759765625
119026,42.4833984375
119502,42.376953125
120002,42.3662109375
120502,42.3447265625
121002,42.3447265625
121527,42.35546875
122001,42.333984375
122552,42.61328125
123026,42.3349609375
123526,42.3349609375
124041,42.3251953125
124502,42.3359375
125070,42.31640625
125502,42.326171875
126005,42.31640625
126514,42.3251953125
127029,42.3046875
127530,42.251953125
128002,42.3056640625
128526,42.31640625
129046,42.359375
129502,42.4453125
130002,42.2958984375
130545,42.306640625
131014,42.294921875
131604,42.3056640625
132034,42.2978515625
132603,42.296875
133103,42.5654296875
133533,42.1796875
134072,42.265625
134502,42.265625
135002,42.2548828125
135571,42.265625
136091,42.255859375
136600,42.24609375
137026,42.470703125
137502,42.267578125
138026,42.2568359375
138569,42.2470703125
139002,42.24609375
139567,42.2353515625
140107,42.21484375
140502,42.0859375
141002,42.21484375
141536,42.18359375
142002,42.1953125
142502,42.18359375
143026,42.1728515625
143527,42.1728515625
144027,42.1513671875
144534,42.099609375
145002,42.142578125
145526,42.1533203125
146030,42.142578125
146602,42.142578125
147002,42.1318359375
147601,42.1435546875
148030,41.8115234375
148526,42.1435546875
149103,42.1337890625
149527,42.123046875
150093,42.1025390625
150569,42.103515625
151026,42.0810546875
151526,42.0810546875
152112,41.9970703125
152607,42.08203125
153002,42.0712890625
153606,42.0625
154106,42.0517578125
154526,42.041015625
155026,42.041015625
155526,42.0302734375
156094,42.041015625
156502,42.0302734375
157103,42.021484375
157526,42.2890625
158027,42.0205078125
158592,42.0107421875
159072,42.0
159526,42.064453125
160026,42.0009765625
160527,41.978515625
161070,42.3662109375
161526,42.2041015625
162026,41.9912109375
162599,41.970703125
163002,41.9814453125
163598,41.9921875
164002,41.9716796875
164607,41.9716796875
165037,41.9716796875
165586,41.9619140625
166002,41.939453125
166505,41.982421875
167031,41.9619140625
167530,42.0361328125
168038,41.97265625
168502,41.9833984375
169027,41.97265625
169526,41.97265625
170106,41.97265625
170526,41.962890625
171002,41.962890625
171601,41.962890625
172071,41.9521484375
172527,41.9541015625
173002,41.93359375
173526,41.93359375
174099,41.923828125
174502,41.7421875
175089,41.93359375
175588,41.9228515625
176002,41.9111328125
176502,41.912109375
177002,41.90234375
177502,41.9140625
178106,41.8916015625
178546,41.8916015625
179002,41.904296875
179526,41.8828125
180105,41.8828125
180502,41.8720703125
181034,41.8720703125
181603,41.861328125
182002,41.861328125
182602,41.7666015625
183002,41.841796875
183532,41.8203125
184002,41.693359375
184571,41.8095703125
185026,41.798828125
185502,41.7998046875
186090,41.7783203125
186530,41.779296875
187089,41.7578125
187569,41.748046875
188002,41.7265625
188502,41.7265625
189002,41.7177734375
189526,41.716796875
190037,41.70703125
190576,41.70703125
191036,41.6845703125
191526,41.6953125
192026,41.6748046875
192502,41.685546875
193002,41.67578125
193534,41.6748046875
194002,41.6767578125
194533,41.6982421875
195026,41.6552734375
195526,41.6767578125
196026,41.65625
196502,41.6669921875
197101,41.65625
197600,41.66796875
198002,41.58203125
198502,41.6572265625
199002,41.646484375
199589,41.6484375
200026,41.755859375
200502,41.6484375
201002,41.6376953125
201607,41.6376953125
202002,41.6376953125
202527,41.626953125
203002,41.6396484375
203576,41.6396484375
204076,41.3388671875
204502,41.6181640625
205002,41.640625
205604,41.576171875
206104,41.5869140625
206603,41.5859375
207029,41.5859375
207502,41.5771484375
208002,41.5771484375
208575,41.544921875
209002,41.56640625
209604,41.642578125
210002,41.5791015625
210526,41.568359375
211026,41.5791015625
211502,41.5576171875
212002,41.580078125
212589,41.580078125
213002,41.5595703125
213502,41.5810546875
214108,41.548828125
214502,41.548828125
215026,41.5380859375
215502,41.5390625
216002,41.5283203125
216605,41.5185546875
217026,41.5078125
217526,41.5078125
218104,41.498046875
218502,41.498046875
219002,41.498046875
219526,41.4775390625
220103,41.4765625
220526,41.4658203125
221072,41.4677734375
221526,41.447265625
222026,41.4677734375
222591,41.42578125
223026,41.42578125
223502,41.42578125
224026,41.3701171875
224526,41.416015625
225002,41.4052734375
225526,41.3955078125
226098,41.384765625
226502,41.3740234375
227029,41.3955078125
227541,41.2685546875
228106,41.365234375
228606,41.353515625
229002,41.3427734375
229526,41.3544921875
230002,41.3447265625
230502,41.3447265625
231108,41.345703125
231502,41.345703125
232027,41.3349609375
232502,41.345703125
233026,41.3466796875
233526,41.3466796875
234002,41.34765625
234571,41.34765625
235031,41.3486328125
235600,41.337890625
236026,41.337890625
236502,41.326171875
237002,41.328125
237599,41.4677734375
238098,41.4248046875
238608,41.3193359375
239108,41.3076171875
239607,41.2978515625
240002,41.3193359375
240502,41.2861328125
241026,41.1904296875
241502,41.2763671875
242026,41.265625
242605,41.4814453125
243002,41.3193359375
243502,41.255859375
244034,41.24609375
244514,41.2353515625
245073,41.224609375
245526,41.2685546875
246102,41.2041015625
246505,41.2255859375
247091,41.1943359375
247502,41.1943359375
248094,41.205078125
248527,41.205078125
249027,41.1943359375
249502,41.173828125
250026,41.1630859375
250502,41.1748046875
251002,41.1318359375
251568,41.1416015625
252026,41.2509765625
252502,41.1328125
253037,41.1328125
253536,41.2744140625
254076,41.3369140625
254526,41.0908203125
255014,40.8662109375
255604,41.1669921875
256002,41.0703125
256574,41.0703125
257002,41.0712890625
257527,41.060546875
258103,41.1474609375
258502,41.0400390625
259102,41.05078125
259601,41.041015625
260002,41.041015625
260601,41.041015625
261026,41.041015625
261526,41.0302734375
262027,41.03125
262514,41.0419921875
263099,41.0322265625
263502,41.04296875
264027,41.0439453125
264502,41.01171875
265026,41.24609375
265502,41.0224609375
266066,41.033203125
266505,41.0439453125
267002,41.033203125
267565,41.0126953125
268078,41.0244140625
268604,41.0029296875
269026,41.0244140625
269527,41.0458984375
270026,41.00390625
270502,41.015625
271026,41.0048828125
271592,40.994140625
272052,40.984375
272502,40.994140625
273061,40.9853515625
273601,40.962890625
274040,40.9638671875
274526,40.943359375
275099,40.974609375
275539,40.931640625
276089,40.9111328125
276578,40.900390625
277048,40.70703125
277502,40.9111328125
278107,40.8916015625
278577,41.2353515625
279002,40.8916015625
279502,40.8701171875
280027,40.8603515625
280585,40.8701171875
281002,40.8701171875
281502,40.8720703125
282074,40.8623046875
282502,40.8505859375
283083,40.8623046875
283502,40.8515625
284093,40.8408203125
284602,40.8408203125
285026,40.830078125
285561,40.7119140625
286029,40.8203125
286526,40.7998046875
287018,40.7890625
287580,40.767578125
288099,40.779296875
288609,40.88671875
289082,40.80078125
289502,40.7578125
290026,40.7578125
290502,40.7587890625
291047,40.7490234375
291526,40.7392578125
292076,40.7158203125
292526,40.833984375
293065,40.7080078125
293526,40.697265625
294002,40.67578125
294604,40.654296875
295002,40.6650390625
