Time (ms), VOC density (ppb)
4671,0.0
5090,0.0
5599,0.0
6013,0.0
6599,0.0
7088,0.0
7588,0.0
8091,0.0
8597,0.0
9099,0.0
9596,0.0
10096,0.0
10595,0.0
11035,0.0
11594,0.0
12013,0.0
12594,0.0
13013,0.0
13592,0.0
14014,0.0
14513,0.0
15081,0.0
15591,0.0
16090,0.0
16520,0.0
17013,0.0
17559,0.0
18013,2512.0
18588,2471.0
19048,2498.0
19547,2494.0
20013,2445.0
20586,2468.0
21096,2415.0
21596,2475.0
22065,2431.0
22594,2392.0
23064,2406.0
23574,2394.0
24093,2378.0
24593,2339.0
25072,2383.0
25582,2394.0
26045,2295.0
26611,2281.0
27094,2337.0
27590,2304.0
28020,2304.0
28592,2284.0
29089,2277.0
29513,2242.0
30091,2272.0
30598,2244.0
31087,2242.0
31596,2242.0
32096,2212.0
32596,2207.0
33013,2242.0
33565,2207.0
34084,2166.0
34594,2196.0
35094,2145.0
35533,2152.0
36063,2159.0
36592,2129.0
37013,2143.0
37591,2124.0
38091,2087.0
38590,2073.0
39090,2108.0
39590,2110.0
40019,2122.0
40589,2143.0
41089,2131.0
41588,2124.0
42087,2127.0
42597,2069.0
43057,2106.0
43606,2113.0
44096,2122.0
44595,2127.0
45016,2099.0
45584,2053.0
46013,2037.0
46593,2043.0
47093,2007.0
47514,2034.0
48092,2030.0
48592,2032.0
49041,2018.0
49551,2037.0
50050,2030.0
50550,1995.0
51090,1979.0
51589,1995.0
52039,2025.0
52588,2067.0
53018,1976.0
53597,1963.0
54087,1979.0
54596,1972.0
55096,1958.0
55595,1981.0
56095,2020.0
56595,2004.0
57094,1995.0
57513,1993.0
58094,2007.0
58513,1981.0
59014,1958.0
59592,1930.0
60042,1923.0
60513,1928.0
61091,1928.0
61590,1891.0
62090,1889.0
62590,1843.0
63019,1882.0
63589,1833.0
64088,1840.0
64528,1845.0
65097,1824.0
65513,1796.0
66050,1792.0
66513,1810.0
67049,1803.0
67569,1776.0
68105,1750.0
68604,1759.0
69097,1759.0
69514,1748.0
70106,1757.0
70596,1729.0
71014,1783.0
71592,1674.0
72102,1741.0
72591,1690.0
73090,1683.0
73513,1723.0
74050,1716.0
74589,1702.0
75089,1653.0
75588,1702.0
76068,1669.0
76598,1690.0
77097,1649.0
77586,1605.0
78106,1656.0
78586,1630.0
79085,1642.0
79565,1628.0
80094,1609.0
80524,1644.0
81094,1582.0
81513,1614.0
82093,1612.0
82523,1582.0
83052,1582.0
83592,1586.0
84013,1561.0
84571,1575.0
85040,1552.0
85590,1584.0
86099,1605.0
86513,1552.0
87013,1586.0
87588,1545.0
88108,1563.0
88517,1563.0
89090,1554.0
89606,1531.0
90099,1552.0
90596,1512.0
91065,1545.0
91595,1503.0
92094,1524.0
92594,1478.0
93093,1522.0
93603,1524.0
94093,1473.0
94592,1517.0
95092,1489.0
95571,1489.0
96013,1501.0
96513,1512.0
97090,1464.0
97590,1448.0
98089,1455.0
98609,1476.0
99013,1471.0
99514,1450.0
100013,1455.0
