Time (ms), X Acceleration (g)
4585,-0.11767578125
4684,-0.11474609375
4768,-0.13037109375
4808,-0.12255859375
4902,-0.1171875
5003,-0.1181640625
5105,-0.1220703125
5237,-0.11328125
5302,-0.1064453125
5427,-0.12158203125
5508,-0.12548828125
5612,-0.11572265625
5702,-0.1240234375
5802,-0.12109375
5902,-0.125
6033,-0.11962890625
6117,-0.12744140625
6226,-0.11767578125
6302,-0.11474609375
6402,-0.11572265625
6508,-0.12646484375
6612,-0.11767578125
6756,-0.12841796875
6836,-0.126953125
6902,-0.11669921875
7005,-0.11767578125
7102,-0.11962890625
7202,-0.12353515625
7302,-0.1279296875
7402,-0.11279296875
7505,-0.125
7602,-0.12646484375
7775,-0.125
7802,-0.11572265625
7902,-0.1298828125
8002,-0.1240234375
8107,-0.1259765625
8202,-0.12158203125
8365,-0.1201171875
8402,-0.119140625
8505,-0.12255859375
8610,-0.12060546875
8702,-0.12841796875
8854,-0.125
8902,-0.12158203125
9005,-0.1220703125
9112,-0.1181640625
9202,-0.123046875
9302,-0.11767578125
9444,-0.12158203125
9504,-0.11279296875
9614,-0.115234375
9703,-0.11474609375
9802,-0.12744140625
9903,-0.11962890625
10004,-0.1259765625
10115,-0.11279296875
10203,-0.12548828125
10313,-0.11669921875
10402,-0.134765625
10504,-0.1171875
10613,-0.12744140625
10762,-0.12353515625
10802,-0.12255859375
10952,-0.12255859375
11052,-0.12353515625
11102,-0.12158203125
11202,-0.11865234375
11302,-0.11767578125
11402,-0.12060546875
11505,-0.126953125
11607,-0.12109375
11702,-0.12060546875
11802,-0.12060546875
11902,-0.1181640625
12030,-0.12255859375
12111,-0.12109375
12251,-0.1201171875
12302,-0.11572265625
12451,-0.12109375
12505,-0.130859375
12607,-0.1220703125
12702,-0.1064453125
12802,-0.115234375
12902,-0.24267578125
13030,-0.12158203125
13110,-0.162109375
13260,-0.11572265625
13302,-0.1220703125
13402,-0.123046875
13505,-0.123046875
13605,-0.123046875
13780,-0.12353515625
13830,-0.10986328125
13902,-0.12353515625
14031,-0.12060546875
14109,-0.1142578125
14249,-0.1240234375
14302,-0.123046875
14402,-0.11669921875
14530,-0.1201171875
14619,-0.119140625
14709,-0.12890625
14802,-0.1220703125
14902,-0.123046875
15098,-0.1279296875
15102,-0.1220703125
15202,-0.119140625
15302,-0.11474609375
15402,-0.1201171875
15502,-0.12109375
15607,-0.1220703125
