Time (ms), X Gyro (deg per sec)
4608,-1.097561001777649
4708,-1.097561001777649
4798,-1.1585365533828735
4838,-1.1585365533828735
4928,-1.097561001777649
5028,-1.097561001777649
5128,-1.097561001777649
5267,-1.097561001777649
5327,-1.097561001777649
5457,-1.1585365533828735
5537,-1.097561001777649
5637,-1.1585365533828735
5727,-1.097561001777649
5827,-1.2195122241973877
5927,-1.097561001777649
6057,-1.1585365533828735
6147,-1.1585365533828735
6256,-1.1585365533828735
6327,-1.097561001777649
6427,-1.1585365533828735
6536,-1.097561001777649
6636,-1.1585365533828735
6702,-1.1585365533828735
6866,-1.097561001777649
6926,-1.097561001777649
7026,-1.097561001777649
7126,-1.097561001777649
7226,-1.097561001777649
7326,-1.097561001777649
7425,-1.097561001777649
7526,-1.097561001777649
7625,-1.097561001777649
7715,-1.0365853309631348
7825,-1.097561001777649
7925,-1.097561001777649
8025,-1.097561001777649
8135,-1.097561001777649
8225,-1.1585365533828735
8305,-1.097561001777649
8425,-1.097561001777649
8534,-1.2195122241973877
8634,-1.1585365533828735
8725,-1.0365853309631348
8802,-1.1585365533828735
8924,-1.1585365533828735
9034,-1.097561001777649
9134,-1.097561001777649
9224,-1.097561001777649
9324,-1.097561001777649
9474,-1.097561001777649
9534,-1.1585365533828735
9644,-1.097561001777649
9733,-1.1585365533828735
9823,-1.097561001777649
9933,-1.1585365533828735
10033,-1.097561001777649
10143,-1.2195122241973877
10233,-1.097561001777649
10343,-1.097561001777649
10423,-1.0365853309631348
10533,-1.1585365533828735
10643,-1.097561001777649
10703,-1.1585365533828735
10823,-1.097561001777649
10902,-1.1585365533828735
11072,-1.097561001777649
11122,-1.097561001777649
11222,-1.097561001777649
11322,-1.1585365533828735
11432,-1.097561001777649
11532,-1.1585365533828735
11632,-1.1585365533828735
11732,-1.097561001777649
11832,-1.097561001777649
11931,-1.1585365533828735
12052,-1.097561001777649
12141,-1.1585365533828735
12281,-1.1585365533828735
12331,-1.097561001777649
12481,-1.097561001777649
12531,-1.1585365533828735
12631,-1.1585365533828735
12731,-1.097561001777649
12831,-1.097561001777649
12931,-1.1585365533828735
13050,-1.0365853309631348
13140,-1.097561001777649
13202,-1.1585365533828735
13330,-1.1585365533828735
13430,-1.1585365533828735
13530,-1.2195122241973877
13630,-1.1585365533828735
13720,-1.097561001777649
13860,-1.1585365533828735
13930,-1.097561001777649
14060,-1.1585365533828735
14139,-1.097561001777649
14279,-1.0365853309631348
14329,-1.097561001777649
14429,-1.1585365533828735
14559,-1.1585365533828735
14649,-1.1585365533828735
14739,-1.1585365533828735
14829,-1.2804877758026123
14929,-1.1585365533828735
15019,-1.2195122241973877
15129,-1.1585365533828735
15229,-1.1585365533828735
15329,-1.0365853309631348
15429,-1.1585365533828735
15528,-1.0365853309631348
15628,-1.097561001777649
15718,-1.1585365533828735
15828,-1.097561001777649
15928,-1.1585365533828735
16028,-1.097561001777649
16128,-1.1585365533828735
16228,-1.1585365533828735
16328,-1.097561001777649
16477,-1.1585365533828735
16557,-1.097561001777649
16627,-1.2195122241973877
16757,-1.097561001777649
16827,-1.1585365533828735
16927,-1.097561001777649
17057,-1.0365853309631348
17147,-1.1585365533828735
17217,-1.097561001777649
17327,-1.0365853309631348
17427,-1.0365853309631348
17502,-1.1585365533828735
17627,-1.1585365533828735
17776,-1.1585365533828735
17826,-1.097561001777649
17902,-1.1585365533828735
18056,-1.2195122241973877
18146,-1.1585365533828735
18206,-1.1585365533828735
18326,-1.097561001777649
18426,-1.097561001777649
18526,-1.097561001777649
18655,-1.097561001777649
18725,-1.097561001777649
18825,-1.097561001777649
18955,-1.097561001777649
19085,-1.097561001777649
19125,-1.097561001777649
19225,-1.097561001777649
19325,-1.1585365533828735
19425,-1.1585365533828735
19585,-1.097561001777649
19625,-1.1585365533828735
19725,-1.1585365533828735
19825,-1.097561001777649
19925,-1.097561001777649
20054,-1.097561001777649
20144,-1.0365853309631348
20234,-1.097561001777649
20324,-1.0365853309631348
20402,-1.2195122241973877
20524,-1.1585365533828735
20624,-1.097561001777649
20764,-1.1585365533828735
20824,-1.2195122241973877
20923,-1.097561001777649
21033,-1.1585365533828735
21133,-1.2195122241973877
21223,-1.097561001777649
21333,-1.1585365533828735
21433,-1.097561001777649
21533,-1.1585365533828735
21633,-1.0365853309631348
21703,-1.097561001777649
21823,-1.097561001777649
21923,-1.1585365533828735
22003,-1.097561001777649
22123,-1.1585365533828735
22223,-1.1585365533828735
22303,-1.097561001777649
22422,-1.1585365533828735
22532,-1.1585365533828735
22632,-1.2195122241973877
22712,-1.1585365533828735
22852,-1.1585365533828735
22972,-1.1585365533828735
23002,-1.0365853309631348
23131,-1.097561001777649
23231,-1.2195122241973877
23331,-1.1585365533828735
23471,-1.097561001777649
23511,-1.1585365533828735
23631,-1.1585365533828735
23711,-1.097561001777649
23831,-1.1585365533828735
23961,-1.1585365533828735
24031,-1.2195122241973877
24131,-1.1585365533828735
24231,-1.1585365533828735
24331,-1.0365853309631348
24431,-1.1585365533828735
24530,-1.2195122241973877
24630,-0.9756097793579102
24702,-1.2195122241973877
24830,-1.2195122241973877
24950,-1.097561001777649
25010,-1.1585365533828735
25130,-1.2195122241973877
25240,-1.0365853309631348
25330,-1.1585365533828735
25429,-0.8536585569381714
25520,-1.1585365533828735
25629,-1.1585365533828735
25779,-1.0365853309631348
25829,-1.1585365533828735
25929,-1.2195122241973877
26089,-1.097561001777649
26139,-1.2195122241973877
26279,-1.1585365533828735
26329,-1.097561001777649
26429,-1.1585365533828735
26549,-1.1585365533828735
26638,-1.1585365533828735
26729,-1.097561001777649
26828,-1.1585365533828735
26928,-1.097561001777649
27028,-1.1585365533828735
27138,-1.097561001777649
27228,-1.1585365533828735
27378,-1.1585365533828735
27428,-1.0365853309631348
27528,-1.097561001777649
27627,-1.0365853309631348
27727,-1.0365853309631348
27827,-1.1585365533828735
27927,-1.097561001777649
28067,-1.2195122241973877
28147,-1.1585365533828735
28227,-1.097561001777649
28307,-1.097561001777649
28427,-1.097561001777649
28527,-1.1585365533828735
28637,-1.097561001777649
28727,-1.097561001777649
28827,-1.1585365533828735
28927,-1.097561001777649
29026,-1.097561001777649
29126,-1.097561001777649
29236,-1.1585365533828735
29326,-1.0365853309631348
29426,-1.2195122241973877
29556,-1.1585365533828735
29646,-1.1585365533828735
29736,-1.097561001777649
29826,-1.097561001777649
29926,-1.097561001777649
30026,-1.097561001777649
30126,-1.097561001777649
30225,-1.097561001777649
30345,-1.1585365533828735
