Time (ms), Y Mangetometer (uT)
4648,-3.4508626461029053
4748,-4.051012992858887
4878,-3.900975227355957
4968,-3.3008251190185547
5068,-3.3008251190185547
5168,-2.7006752490997314
5218,-5.101275444030762
5367,-3.3008251190185547
5407,-2.7006752490997314
5577,-3.900975227355957
5677,-3.4508626461029053
5767,-4.501125335693359
5867,-4.051012992858887
5967,-3.150787830352783
6097,-1.800450086593628
6187,-4.8012003898620605
6207,-3.0007503032684326
6367,-4.051012992858887
6467,-3.150787830352783
6577,-3.900975227355957
6677,-4.051012992858887
6736,-3.0007503032684326
6816,-4.35108757019043
6966,-3.900975227355957
7066,-1.2003000974655151
7166,-3.3008251190185547
7266,-2.7006752490997314
7366,-4.201050281524658
7465,-2.550637722015381
7566,-4.35108757019043
7665,-4.501125335693359
7755,-3.3008251190185547
7865,-4.35108757019043
7965,-3.4508626461029053
8065,-2.4006001949310303
8175,-3.150787830352783
8265,-5.101275444030762
8345,-4.201050281524658
8465,-4.35108757019043
8575,-3.4508626461029053
8675,-3.3008251190185547
8765,-2.550637722015381
8834,-2.4006001949310303
8964,-5.401350498199463
9074,-4.501125335693359
9174,-2.550637722015381
9264,-2.2505626678466797
9364,-3.600900173187256
9424,-3.4508626461029053
9574,-3.0007503032684326
9684,-3.0007503032684326
9773,-3.3008251190185547
9863,-3.4508626461029053
9973,-3.0007503032684326
10073,-4.35108757019043
10183,-4.201050281524658
10273,-4.051012992858887
10302,-4.35108757019043
10463,-4.35108757019043
10573,-4.201050281524658
10683,-2.7006752490997314
10743,-4.051012992858887
10863,-3.0007503032684326
10933,-4.501125335693359
11012,-3.0007503032684326
11162,-2.100525140762329
11262,-2.550637722015381
11362,-3.0007503032684326
11472,-3.4508626461029053
11572,-3.900975227355957
11672,-3.0007503032684326
11772,-3.150787830352783
11872,-2.550637722015381
11971,-0.900225043296814
12092,-2.550637722015381
12181,-2.550637722015381
12231,-2.4006001949310303
12371,-4.35108757019043
12431,-3.600900173187256
12571,-4.051012992858887
12671,-3.3008251190185547
12771,-3.600900173187256
12871,-2.2505626678466797
12971,-3.0007503032684326
13091,-1.800450086593628
13180,-4.051012992858887
13241,-3.150787830352783
13370,-4.201050281524658
13470,-3.600900173187256
13570,-3.0007503032684326
13670,-3.4508626461029053
13760,-3.4508626461029053
13810,-3.150787830352783
13970,-4.951237678527832
14100,-3.3008251190185547
14180,-4.35108757019043
14230,-4.201050281524658
14369,-4.35108757019043
14469,-3.150787830352783
14599,-3.4508626461029053
14689,-4.8012003898620605
14779,-3.4508626461029053
14869,-3.150787830352783
14969,-2.4006001949310303
15059,-3.4508626461029053
15169,-3.900975227355957
15269,-3.150787830352783
15369,-3.3008251190185547
15469,-3.3008251190185547
15568,-3.4508626461029053
15668,-3.4508626461029053
