Time (ms), Z Gyro (deg per sec)
4628,-0.24390244483947754
4728,-0.24390244483947754
4858,-0.24390244483947754
4948,-0.3048780560493469
5048,-0.24390244483947754
5148,-0.24390244483947754
5202,-0.24390244483947754
5347,-0.3048780560493469
5477,-0.18292683362960815
5557,-0.24390244483947754
5657,-0.3048780560493469
5747,-0.3048780560493469
5847,-0.3048780560493469
5947,-0.24390244483947754
6077,-0.3048780560493469
6167,-0.24390244483947754
6276,-0.3048780560493469
6346,-0.18292683362960815
6446,-0.24390244483947754
6556,-0.24390244483947754
6656,-0.24390244483947754
6716,-0.24390244483947754
6802,-0.24390244483947754
6946,-0.3048780560493469
7046,-0.24390244483947754
7146,-0.24390244483947754
7246,-0.24390244483947754
7346,-0.24390244483947754
7446,-0.18292683362960815
7545,-0.3048780560493469
7645,-0.24390244483947754
7735,-0.24390244483947754
7845,-0.3048780560493469
7945,-0.3048780560493469
8045,-0.3048780560493469
8155,-0.24390244483947754
8245,-0.18292683362960815
8325,-0.3048780560493469
8444,-0.3048780560493469
8554,-0.3048780560493469
8654,-0.24390244483947754
8744,-0.18292683362960815
8814,-0.18292683362960815
8944,-0.24390244483947754
9054,-0.24390244483947754
9154,-0.24390244483947754
9244,-0.24390244483947754
9344,-0.24390244483947754
9404,-0.18292683362960815
9553,-0.3658536672592163
9663,-0.3658536672592163
9753,-0.3048780560493469
9843,-0.24390244483947754
9953,-0.24390244483947754
10053,-0.3048780560493469
10163,-0.24390244483947754
10253,-0.24390244483947754
10363,-0.3048780560493469
10443,-0.24390244483947754
10553,-0.24390244483947754
10662,-0.3048780560493469
10722,-0.3048780560493469
10842,-0.3048780560493469
10912,-0.18292683362960815
11002,-0.3658536672592163
11142,-0.18292683362960815
11242,-0.24390244483947754
11342,-0.24390244483947754
11452,-0.18292683362960815
11552,-0.18292683362960815
11652,-0.18292683362960815
11752,-0.24390244483947754
11852,-0.24390244483947754
11952,-0.3048780560493469
12071,-0.18292683362960815
12161,-0.24390244483947754
12211,-0.3048780560493469
12351,-0.24390244483947754
12411,-0.3048780560493469
12551,-0.18292683362960815
12651,-0.3658536672592163
12751,-0.3048780560493469
12851,-0.18292683362960815
12950,-0.24390244483947754
13071,1.2804877758026123
13161,-0.3048780560493469
13220,-0.24390244483947754
13350,-0.3048780560493469
13450,-0.3048780560493469
13550,-0.24390244483947754
13650,-0.24390244483947754
13740,-0.24390244483947754
13880,-0.3048780560493469
13950,-0.24390244483947754
14080,-0.3048780560493469
14160,-0.24390244483947754
14209,-0.24390244483947754
14349,-0.18292683362960815
14449,-0.24390244483947754
14579,-0.3048780560493469
14669,-0.18292683362960815
14759,-0.24390244483947754
14849,-0.24390244483947754
14949,-0.24390244483947754
15039,-0.3048780560493469
15149,-0.3048780560493469
15248,-0.24390244483947754
15348,-0.24390244483947754
15448,-0.24390244483947754
15548,-0.24390244483947754
15648,-0.24390244483947754
15738,-0.24390244483947754
15848,-0.3048780560493469
15948,-0.24390244483947754
16048,-0.24390244483947754
16148,-0.24390244483947754
16248,-0.24390244483947754
16348,-0.24390244483947754
16407,-0.18292683362960815
16577,-0.24390244483947754
16647,-0.24390244483947754
16777,-0.3048780560493469
16847,-0.3048780560493469
16947,-0.18292683362960815
17077,-0.18292683362960815
17167,-0.24390244483947754
17237,-0.18292683362960815
17347,-0.24390244483947754
17446,-0.18292683362960815
17516,-0.18292683362960815
17646,-0.24390244483947754
17706,-0.24390244483947754
17846,-0.24390244483947754
17916,-0.3048780560493469
18076,-0.3048780560493469
18166,-0.24390244483947754
18226,-0.24390244483947754
18346,-0.18292683362960815
18446,-0.24390244483947754
18545,-0.18292683362960815
18675,-0.24390244483947754
18746,-0.24390244483947754
18845,-0.3048780560493469
18975,-0.18292683362960815
19005,-0.3048780560493469
19145,-0.18292683362960815
19245,-0.24390244483947754
19345,-0.3048780560493469
19445,-0.3048780560493469
19505,-0.3658536672592163
19645,-0.3048780560493469
19744,-0.3048780560493469
19844,-0.18292683362960815
19944,-0.3658536672592163
20074,-0.24390244483947754
20164,-0.3048780560493469
20254,-0.24390244483947754
20344,-0.3048780560493469
20414,-0.24390244483947754
20544,-0.24390244483947754
20644,-0.24390244483947754
20702,-0.24390244483947754
20844,-0.24390244483947754
20944,-0.3048780560493469
21054,-0.3048780560493469
21153,-0.3658536672592163
21243,-0.24390244483947754
21353,-0.3048780560493469
21453,-0.3048780560493469
21553,-0.18292683362960815
21653,-0.3048780560493469
21723,-0.24390244483947754
21843,-0.24390244483947754
21943,-0.24390244483947754
22023,-0.3658536672592163
22142,-0.24390244483947754
22242,-0.24390244483947754
22322,-0.24390244483947754
22442,-0.24390244483947754
22552,-0.24390244483947754
22652,-0.3048780560493469
22732,-0.3048780560493469
22872,-0.3658536672592163
22902,-0.24390244483947754
23022,-0.3048780560493469
23152,-0.24390244483947754
23252,-0.24390244483947754
23351,-0.3048780560493469
23402,-0.18292683362960815
23531,-0.3048780560493469
23651,-0.18292683362960815
23731,-0.3048780560493469
23851,-0.3048780560493469
23981,-0.24390244483947754
24051,-0.24390244483947754
24151,-0.24390244483947754
24250,-0.3048780560493469
24350,-0.18292683362960815
24450,-0.3048780560493469
24550,-0.3658536672592163
24650,-0.12195122241973877
24720,-0.24390244483947754
24850,-0.3048780560493469
24970,-0.3048780560493469
25030,-0.3048780560493469
25150,-0.24390244483947754
25260,-0.3048780560493469
25350,-0.24390244483947754
25450,-0.3048780560493469
25539,-0.18292683362960815
25649,-0.24390244483947754
25709,-0.24390244483947754
25849,-0.24390244483947754
25949,-0.24390244483947754
26002,-0.24390244483947754
26159,-0.24390244483947754
26209,-0.24390244483947754
26349,-0.3048780560493469
26449,-0.24390244483947754
26568,-0.24390244483947754
26658,-0.3048780560493469
26748,-0.24390244483947754
26848,-0.24390244483947754
26948,-0.3048780560493469
27048,-0.24390244483947754
27158,-0.3048780560493469
27248,-0.3048780560493469
27308,-0.24390244483947754
27448,-0.3048780560493469
27548,-0.24390244483947754
27648,-0.24390244483947754
27748,-0.24390244483947754
27847,-0.18292683362960815
27947,-0.24390244483947754
28087,-0.24390244483947754
28167,-0.3048780560493469
28247,-0.3048780560493469
28327,-0.24390244483947754
28447,-0.3048780560493469
28547,-0.18292683362960815
28657,-0.24390244483947754
28747,-0.3048780560493469
28846,-0.24390244483947754
28946,-0.18292683362960815
29046,-0.3048780560493469
29146,-0.24390244483947754
29256,-0.24390244483947754
29346,-0.24390244483947754
29446,-0.3048780560493469
29576,-0.18292683362960815
29666,-0.24390244483947754
29756,-0.24390244483947754
29846,-0.3048780560493469
29946,-0.18292683362960815
30045,-0.3658536672592163
30145,-0.24390244483947754
30245,-0.24390244483947754
30365,-0.3658536672592163
30445,-0.3048780560493469
30555,-0.12195122241973877
30665,-0.18292683362960815
30765,-0.3048780560493469
30845,-0.24390244483947754
30945,-0.24390244483947754
31044,-0.24390244483947754
31155,-0.24390244483947754
31244,-0.3048780560493469
31344,-0.18292683362960815
31444,-0.24390244483947754
31554,-0.18292683362960815
31654,-0.3048780560493469
31744,-0.24390244483947754
31844,-0.18292683362960815
31944,-0.18292683362960815
32054,-0.24390244483947754
32154,-0.3048780560493469
32233,-0.18292683362960815
32344,-0.3048780560493469
32463,-0.18292683362960815
32553,-0.3048780560493469
32653,-0.24390244483947754
32702,-0.3048780560493469
32843,-0.3048780560493469
32943,-0.3658536672592163
33073,-0.3048780560493469
33163,-0.24390244483947754
33252,-0.18292683362960815
33333,-0.3048780560493469
33402,-0.3048780560493469
33523,-0.24390244483947754
33642,-0.3048780560493469
33742,-0.24390244483947754
33842,-0.24390244483947754
33942,-0.3048780560493469
34042,-0.3048780560493469
34142,-0.18292683362960815
34252,-0.3048780560493469
34352,-0.3048780560493469
34452,-0.3048780560493469
34552,-0.3048780560493469
34651,-0.18292683362960815
34751,-0.24390244483947754
34851,-0.24390244483947754
34971,-0.3048780560493469
35051,-0.3048780560493469
35151,-0.24390244483947754
35211,-0.3048780560493469
35351,-0.24390244483947754
35451,-0.3048780560493469
35591,-0.24390244483947754
35650,-0.24390244483947754
35750,-0.24390244483947754
35850,-0.3048780560493469
35910,-0.3048780560493469
36020,-0.3048780560493469
36150,-0.24390244483947754
36260,-0.24390244483947754
36370,-0.24390244483947754
36450,-0.24390244483947754
36550,-0.18292683362960815
36650,-0.3048780560493469
36709,-0.3048780560493469
36850,-0.24390244483947754
36969,-0.24390244483947754
37079,-0.24390244483947754
37169,-0.24390244483947754
37262,-0.24390244483947754
37349,-0.24390244483947754
37449,-0.3048780560493469
37549,-0.24390244483947754
37649,-0.24390244483947754
37749,-0.3048780560493469
37848,-0.24390244483947754
37948,0.12195122241973877
38048,-0.3048780560493469
38148,13.04878044128418
38248,-23.719512939453125
38348,-24.878049850463867
38448,38.475608825683594
38548,-199.69512939453125
38648,194.8780517578125
38718,26.158536911010742
38848,1.8902438879013062
38948,113.04878234863281
39047,148.9634246826172
39147,43.23170852661133
39202,-84.14634704589844
39327,-13.780488014221191
39417,71.15853881835938
39547,-32.682926177978516
39647,-50.54878234863281
39727,-2.317073106765747
39847,25.914634704589844
39947,-6.219512462615967
40077,-13.292683601379395
40146,-73.96341705322266
40246,23.109756469726562
40316,16.341463088989258
40446,50.79268264770508
40546,32.92683029174805
40646,38.17073440551758
40756,-12.865854263305664
40846,46.463417053222656
40946,-53.90243911743164
41046,-45.97561264038086
41156,11.585366249084473
41246,5.54878044128418
41346,9.939024925231934
41416,74.69512176513672
41545,37.560977935791016
41675,-13.536585807800293
41745,-13.59756088256836
41845,51.34146499633789
41905,-78.96341705322266
42045,-2.4390244483947754
42145,-5.792683124542236
42245,-6.158536911010742
42345,0.060975611209869385
42425,0.3658536672592163
42554,-81.58536529541016
42654,-32.621952056884766
42744,-26.768293380737305
42844,-51.03658676147461
42944,-24.573171615600586
43014,-35.975608825683594
43144,-81.58536529541016
43244,-37.256099700927734
43344,-88.9024429321289
43402,-13.414634704589844
43563,5.243902683258057
43654,-7.256097793579102
43744,6.707317352294922
43843,48.23170852661133
43943,60.121952056884766
44053,48.719512939453125
44153,13.414634704589844
44243,-2.5
44323,-6.341463565826416
44473,-12.5
44553,-73.53659057617188
44653,-49.085365295410156
44742,-26.89024543762207
44802,2.682926893234253
44973,18.536584854125977
45082,-28.414634704589844
45172,-101.46341705322266
45222,-26.64634132385254
45342,53.90243911743164
45452,-45.060977935791016
45542,-30.85365867614746
45642,11.768293380737305
45752,41.219512939453125
45852,14.02439022064209
45952,14.87804889678955
46081,2.012195110321045
46171,20.121952056884766
46211,24.329269409179688
46351,19.08536720275879
46461,-0.3658536672592163
46551,5.97560977935791
46651,-1.8902438879013062
46751,2.6219513416290283
46851,-0.3048780560493469
46950,-2.987804889678955
47051,15.914634704589844
47150,-11.585366249084473
47270,-40.975608825683594
47350,-9.45121955871582
47450,26.09756088256836
47580,57.5
47670,-47.19512176513672
47750,-32.317073822021484
47850,-102.31707763671875
47940,-110.9756088256836
48050,-122.19512176513672
48150,-61.158538818359375
48250,-16.768293380737305
48329,17.439023971557617
48459,29.08536720275879
48549,-47.80487823486328
48649,-1.7073171138763428
48769,21.03658676147461
48849,6.341463565826416
48909,79.20732116699219
49002,47.9878044128418
49159,84.26829528808594
49248,-10.487805366516113
49348,20.30487823486328
49479,42.13414764404297
49508,40.4878044128418
49648,49.14634323120117
49748,36.89024353027344
49848,16.64634132385254
49948,15.304878234863281
50008,3.4146342277526855
50158,-2.7439024448394775
50248,7.134146690368652
50348,9.57317066192627
50448,5.609755992889404
50507,-9.512195587158203
50647,5.182927131652832
50747,6.463414669036865
50807,-3.7195122241973877
50977,24.69512176513672
51047,-12.012195587158203
51157,-50.3658561706543
51247,24.268293380737305
51327,0.3658536672592163
51447,-1.4634146690368652
51547,-4.45121955871582
51647,1.7073171138763428
51746,-3.353658676147461
51827,-17.378049850463867
51946,-21.64634132385254
52002,-6.219512462615967
52126,-18.719512939453125
52202,-22.7439022064209
52346,-2.5609755516052246
52446,-0.6097561120986938
52546,5.243902683258057
52646,1.8292683362960815
52746,57.5
52846,3.2926828861236572
52945,14.268293380737305
53075,-76.21951293945312
53145,-125.54878234863281
53245,-42.19512176513672
53365,33.23170852661133
53445,-29.207317352294922
53555,40.24390411376953
53655,28.90243911743164
53745,19.329269409179688
53825,228.65853881835938
53944,20.609756469726562
54044,-45.914634704589844
54144,-71.4024429321289
54244,-72.07317352294922
54344,-53.353660583496094
54444,-64.45121765136719
54554,-76.4024429321289
54654,-90.67073059082031
54744,-12.134146690368652
54824,-36.89024353027344
54944,-12.987805366516113
55054,-42.43902587890625
55153,-120.8536605834961
55213,-53.17073440551758
55343,-92.07317352294922
55443,6.7682929039001465
55553,-16.463415145874023
55653,55.67073440551758
55743,-5.487804889678955
55803,1.1585365533828735
55943,-9.390244483947754
56053,-2.4390244483947754
56153,1.0365853309631348
56242,-0.6707317233085632
56303,14.02439022064209
56472,3.2317073345184326
56552,10.54878044128418
56652,-0.18292683362960815
56742,13.841464042663574
56842,-5.365853786468506
56952,5.487804889678955
57052,-0.060975611209869385
57152,0.18292683362960815
57252,-1.585365891456604
57352,-0.6707317233085632
57452,-31.463415145874023
57571,-12.560976028442383
57661,0.7317073345184326
57741,4.756097793579102
57851,-0.060975611209869385
57961,-1.5243902206420898
58051,-0.4268292784690857
58151,-0.3658536672592163
58251,-0.6097561120986938
58351,-0.3048780560493469
58441,-0.18292683362960815
58571,-0.4268292784690857
58660,-0.3658536672592163
58750,0.12195122241973877
58850,0.0
58950,-0.4268292784690857
59080,-0.24390244483947754
59160,-0.18292683362960815
59250,-0.4878048896789551
59350,0.060975611209869385
59440,-0.18292683362960815
59550,-0.18292683362960815
59650,-0.12195122241973877
59750,-0.18292683362960815
59802,-0.18292683362960815
59949,-0.3048780560493469
60002,-0.18292683362960815
60139,-0.060975611209869385
60249,-0.3048780560493469
60349,-0.18292683362960815
60449,-0.7317073345184326
60579,0.24390244483947754
60669,0.0
60758,-0.3048780560493469
60848,-0.5487805008888245
60948,-0.3048780560493469
61048,-0.4268292784690857
61148,-0.060975611209869385
61278,-0.060975611209869385
61348,0.060975611209869385
61448,-0.3658536672592163
61548,-0.3048780560493469
61648,-0.18292683362960815
61748,-0.24390244483947754
61848,-0.18292683362960815
61948,-0.18292683362960815
62047,-0.3048780560493469
62147,-0.3658536672592163
62202,-0.24390244483947754
62317,-0.18292683362960815
62427,-0.3048780560493469
62547,-0.3048780560493469
62647,-0.18292683362960815
62717,-0.24390244483947754
62827,-0.3658536672592163
62947,-0.12195122241973877
63077,-0.18292683362960815
63146,-0.3658536672592163
63246,-0.3048780560493469
63316,-0.24390244483947754
63446,-0.12195122241973877
63546,-0.4268292784690857
63646,-0.12195122241973877
63706,-0.3048780560493469
63876,-0.3048780560493469
63902,-0.6097561120986938
64046,-0.4878048896789551
64176,-0.3048780560493469
64265,-0.3658536672592163
64346,-0.6097561120986938
64445,0.0
64585,-0.12195122241973877
64645,-0.12195122241973877
64705,-0.060975611209869385
64845,-0.24390244483947754
64945,-0.24390244483947754
65055,-0.12195122241973877
65155,-0.24390244483947754
65275,-0.3048780560493469
65345,-0.3048780560493469
65444,-0.24390244483947754
65575,-0.4268292784690857
65664,-0.3048780560493469
65754,-0.24390244483947754
65814,-0.12195122241973877
65904,-0.3048780560493469
66004,-0.24390244483947754
66154,-0.18292683362960815
66244,-0.24390244483947754
66344,-0.3658536672592163
66444,0.0
66574,-0.24390244483947754
66664,-0.6707317233085632
66703,0.060975611209869385
66843,-0.24390244483947754
66923,-0.12195122241973877
67003,-0.18292683362960815
67153,-0.12195122241973877
67243,-0.24390244483947754
67302,-0.4268292784690857
67413,-0.3658536672592163
67523,0.060975611209869385
67653,-0.24390244483947754
67742,-0.18292683362960815
67842,-0.24390244483947754
67942,-0.3048780560493469
68062,-0.24390244483947754
68152,-0.24390244483947754
68242,-0.3658536672592163
68362,-0.3048780560493469
68452,-0.24390244483947754
68562,-0.24390244483947754
68652,-0.18292683362960815
68752,-0.3658536672592163
68852,-0.3048780560493469
68971,-0.3048780560493469
69051,-0.3658536672592163
69161,-0.3048780560493469
69251,-0.3048780560493469
69351,-0.24390244483947754
69451,-0.24390244483947754
69571,-0.3048780560493469
69621,-0.3048780560493469
69751,-0.3048780560493469
69802,-0.3048780560493469
69951,-0.18292683362960815
70051,-0.3658536672592163
70160,-0.24390244483947754
70250,-0.3048780560493469
70350,-0.18292683362960815
70450,-0.3658536672592163
70550,-0.3048780560493469
70650,-0.24390244483947754
70750,-0.3658536672592163
70850,-0.3658536672592163
70970,-0.3048780560493469
71080,-0.3048780560493469
71130,-0.18292683362960815
71250,-0.24390244483947754
71350,-0.24390244483947754
71449,-0.24390244483947754
71549,-0.3658536672592163
71649,-0.18292683362960815
71769,-0.24390244483947754
71819,-0.18292683362960815
71969,-0.24390244483947754
72059,-0.24390244483947754
72149,-0.24390244483947754
72249,-0.24390244483947754
72348,-0.24390244483947754
72448,-0.24390244483947754
72548,-0.3048780560493469
72649,-0.18292683362960815
72728,-0.3048780560493469
72848,-0.24390244483947754
72948,-0.3048780560493469
73048,-0.3658536672592163
73148,-0.18292683362960815
73248,-0.3658536672592163
73348,-0.24390244483947754
73428,-0.3048780560493469
73577,-0.3048780560493469
73668,-0.3658536672592163
73757,-0.24390244483947754
73847,-0.24390244483947754
73947,-0.24390244483947754
74007,-0.3048780560493469
74147,-0.24390244483947754
74247,-0.24390244483947754
74347,-0.3048780560493469
74447,-0.18292683362960815
74547,-0.3658536672592163
74647,-0.24390244483947754
74777,-0.18292683362960815
74846,-0.3048780560493469
74946,-0.24390244483947754
75046,-0.3048780560493469
75146,-0.18292683362960815
75246,-0.3048780560493469
75302,-0.3048780560493469
75446,-0.24390244483947754
75546,-0.3048780560493469
75606,-0.24390244483947754
75746,-0.24390244483947754
75826,-0.24390244483947754
75946,-0.18292683362960815
76025,-0.18292683362960815
76145,-0.12195122241973877
76245,-0.3048780560493469
76345,-0.3658536672592163
76445,-0.18292683362960815
76555,-0.3048780560493469
76655,-0.18292683362960815
76745,-0.3048780560493469
76865,-0.24390244483947754
76945,-0.24390244483947754
77055,-0.3048780560493469
77154,-0.24390244483947754
77244,-0.24390244483947754
77302,-0.24390244483947754
77444,-0.24390244483947754
77544,-0.3048780560493469
77644,-0.24390244483947754
77744,-0.24390244483947754
77844,-0.24390244483947754
77944,-0.24390244483947754
78064,-0.24390244483947754
78154,-0.12195122241973877
78244,-0.18292683362960815
78344,-0.3048780560493469
78443,-0.18292683362960815
