Time (ms), Z Mangetometer (uT)
4658,8.252062797546387
4758,7.201800346374512
4888,6.451612949371338
4978,7.951988220214844
5078,7.351838111877441
5178,8.402100563049316
5227,6.451612949371338
5377,7.05176305770874
5417,7.05176305770874
5587,7.951988220214844
5687,6.451612949371338
5777,9.452363014221191
5877,7.951988220214844
5977,7.05176305770874
6107,6.9017252922058105
6197,6.9017252922058105
6217,6.9017252922058105
6377,9.452363014221191
6477,7.501875400543213
6586,8.402100563049316
6686,8.102025985717773
6746,8.402100563049316
6826,9.75243854522705
6976,9.302325248718262
7076,7.951988220214844
7176,9.452363014221191
7276,7.651913166046143
7376,7.501875400543213
7476,7.201800346374512
7576,8.402100563049316
7675,8.552138328552246
7765,7.201800346374512
7875,7.951988220214844
7975,10.502625465393066
8075,7.951988220214844
8185,9.152288436889648
8275,9.452363014221191
8355,9.302325248718262
8475,8.402100563049316
8585,8.552138328552246
8684,8.402100563049316
8775,9.302325248718262
8845,8.552138328552246
8974,9.602400779724121
9084,9.302325248718262
9184,8.402100563049316
9274,8.402100563049316
9374,8.552138328552246
9434,7.501875400543213
9584,9.602400779724121
9694,9.152288436889648
9783,9.152288436889648
9873,8.402100563049316
9902,8.70217514038086
10083,8.552138328552246
10193,9.452363014221191
10283,7.501875400543213
10303,7.501875400543213
10473,7.501875400543213
10583,8.852212905883789
10693,8.252062797546387
10753,8.552138328552246
10873,9.602400779724121
10943,8.402100563049316
11023,7.651913166046143
11172,7.951988220214844
11272,8.402100563049316
11372,9.152288436889648
11482,8.70217514038086
11582,10.652663230895996
11682,8.852212905883789
11782,9.302325248718262
11882,7.05176305770874
11982,8.402100563049316
12102,7.951988220214844
12191,7.05176305770874
12241,8.252062797546387
12381,7.351838111877441
12441,7.351838111877441
12581,6.601650238037109
12681,8.402100563049316
12781,7.201800346374512
12881,6.9017252922058105
12981,7.05176305770874
13101,6.9017252922058105
13191,7.501875400543213
13251,8.552138328552246
13380,8.70217514038086
13480,7.651913166046143
13580,8.102025985717773
13680,7.201800346374512
13770,8.102025985717773
13820,7.651913166046143
13980,8.102025985717773
14002,7.651913166046143
14189,7.351838111877441
14240,6.9017252922058105
14379,7.501875400543213
14479,6.9017252922058105
14609,7.351838111877441
14699,6.601650238037109
14789,7.501875400543213
14879,6.9017252922058105
14979,7.651913166046143
15069,7.951988220214844
15179,8.70217514038086
15279,7.201800346374512
15379,7.501875400543213
15479,8.102025985717773
15578,6.301575660705566
15679,7.501875400543213
15768,7.501875400543213
15878,8.852212905883789
15978,7.651913166046143
16078,7.501875400543213
16178,7.201800346374512
16278,7.501875400543213
16378,7.651913166046143
16438,8.552138328552246
16507,6.9017252922058105
16677,7.201800346374512
16717,7.501875400543213
16877,8.102025985717773
16977,7.201800346374512
17107,7.351838111877441
17197,8.402100563049316
17267,8.70217514038086
17377,9.152288436889648
17477,8.402100563049316
17547,7.951988220214844
17677,9.152288436889648
17736,7.501875400543213
17876,7.951988220214844
17946,7.201800346374512
18106,6.9017252922058105
18196,7.201800346374512
18256,7.501875400543213
18376,7.651913166046143
18476,8.102025985717773
18576,8.402100563049316
18616,7.351838111877441
18776,7.351838111877441
18875,7.651913166046143
18915,8.552138328552246
19035,6.451612949371338
19175,6.9017252922058105
19275,7.351838111877441
19375,7.501875400543213
19475,6.9017252922058105
19535,7.201800346374512
19675,7.201800346374512
19775,7.501875400543213
19875,7.201800346374512
19975,8.552138328552246
20104,7.05176305770874
20195,7.501875400543213
20284,8.402100563049316
20374,7.951988220214844
20444,8.252062797546387
20574,8.102025985717773
20674,6.9017252922058105
20724,7.351838111877441
20874,7.951988220214844
20974,6.9017252922058105
21084,7.201800346374512
21183,8.552138328552246
21273,6.601650238037109
21302,7.351838111877441
21402,6.9017252922058105
21583,7.951988220214844
21683,7.05176305770874
21753,7.201800346374512
21873,6.601650238037109
21973,7.351838111877441
22053,7.05176305770874
22173,6.451612949371338
22273,7.05176305770874
22352,7.201800346374512
22472,7.951988220214844
22582,7.201800346374512
22682,7.651913166046143
22762,6.9017252922058105
22812,6.9017252922058105
22932,6.9017252922058105
23052,7.951988220214844
23182,5.401350498199463
23282,7.951988220214844
23381,8.402100563049316
23432,7.201800346374512
23562,7.351838111877441
23681,7.951988220214844
23761,6.9017252922058105
23881,7.651913166046143
23921,8.102025985717773
24081,8.552138328552246
24181,7.951988220214844
24281,7.351838111877441
24381,8.402100563049316
24481,7.501875400543213
24580,7.501875400543213
24680,8.102025985717773
24750,6.601650238037109
24880,7.951988220214844
24910,6.151537895202637
25060,8.102025985717773
25180,7.05176305770874
25202,7.651913166046143
25380,8.552138328552246
25480,7.501875400543213
25570,7.05176305770874
25679,7.05176305770874
25740,7.05176305770874
25879,7.951988220214844
25979,7.651913166046143
26029,7.501875400543213
26189,7.05176305770874
26239,8.552138328552246
26379,7.951988220214844
26479,6.301575660705566
26599,8.102025985717773
26688,7.351838111877441
26779,8.402100563049316
26879,7.201800346374512
26978,7.201800346374512
27078,7.05176305770874
27188,6.451612949371338
27278,6.9017252922058105
27338,7.951988220214844
27478,7.951988220214844
27578,5.8514628410339355
27678,6.9017252922058105
27778,7.951988220214844
27878,7.501875400543213
27977,6.601650238037109
28007,7.651913166046143
28107,7.951988220214844
28277,7.351838111877441
28357,6.601650238037109
28477,7.951988220214844
28577,7.351838111877441
28687,8.102025985717773
28777,9.302325248718262
28877,7.501875400543213
28977,8.102025985717773
29077,7.351838111877441
29176,7.351838111877441
29202,6.301575660705566
29376,7.351838111877441
29476,6.601650238037109
29606,7.501875400543213
29696,8.252062797546387
29786,7.951988220214844
29876,7.05176305770874
29976,7.951988220214844
30076,6.601650238037109
30176,6.601650238037109
30275,7.05176305770874
30305,8.102025985717773
30475,7.501875400543213
30585,8.102025985717773
30695,6.601650238037109
30705,7.05176305770874
30875,8.552138328552246
30975,7.351838111877441
31075,7.05176305770874
31185,7.201800346374512
31275,7.05176305770874
31375,7.951988220214844
31475,8.402100563049316
31584,7.951988220214844
31684,7.05176305770874
31774,7.651913166046143
31874,6.9017252922058105
31974,6.9017252922058105
