Time (ms), eCO2 density (ppm)
4683,400.0
5102,400.0
5611,400.0
6025,400.0
6611,400.0
7100,400.0
7600,400.0
8103,400.0
8609,400.0
9111,400.0
9608,400.0
10112,400.0
10607,400.0
11047,400.0
11606,400.0
12025,400.0
12606,400.0
13025,400.0
13604,400.0
14026,400.0
14525,400.0
15093,400.0
15603,400.0
16102,400.0
16532,400.0
17025,400.0
17571,400.0
18025,781.0
18600,786.0
19060,786.0
19559,784.0
20025,779.0
20598,777.0
21108,778.0
21608,772.0
22077,775.0
22606,768.0
23076,769.0
23586,772.0
24105,776.0
24605,767.0
25084,760.0
25594,763.0
26057,762.0
26513,764.0
27106,754.0
27602,758.0
28032,752.0
28604,750.0
29101,751.0
29525,758.0
30103,752.0
30614,752.0
31099,747.0
31608,737.0
32108,744.0
32608,742.0
33025,748.0
33577,749.0
34096,749.0
34606,742.0
35106,749.0
35545,742.0
36075,742.0
36604,740.0
37025,738.0
37603,748.0
38103,742.0
38602,741.0
39102,736.0
39602,737.0
40031,732.0
40601,747.0
41101,741.0
41600,748.0
42099,742.0
42609,744.0
43069,754.0
43513,741.0
44108,746.0
44607,735.0
45028,735.0
45596,727.0
46025,733.0
46605,734.0
47105,729.0
47526,726.0
48104,734.0
48604,729.0
49053,730.0
49563,740.0
50062,736.0
50562,736.0
51102,733.0
51601,734.0
52051,745.0
52600,745.0
53030,732.0
53609,739.0
54099,737.0
54608,739.0
55108,752.0
55607,756.0
56107,757.0
56607,757.0
57106,758.0
57525,758.0
58106,760.0
58525,753.0
59026,747.0
59604,741.0
60054,738.0
60525,752.0
61103,741.0
61602,733.0
62102,737.0
62602,738.0
63031,739.0
63601,730.0
64100,731.0
64540,729.0
65109,720.0
65529,721.0
66062,721.0
66525,721.0
67061,720.0
67581,722.0
68013,722.0
68513,718.0
69109,710.0
69526,712.0
70118,721.0
70608,707.0
71026,717.0
71604,710.0
72013,712.0
72603,715.0
73102,708.0
73525,713.0
74062,710.0
74601,702.0
75101,702.0
75600,707.0
76080,710.0
76610,710.0
77109,708.0
77598,704.0
78013,710.0
78598,705.0
79097,708.0
79577,709.0
80106,703.0
80536,708.0
81106,698.0
81525,697.0
82105,704.0
82535,703.0
83064,693.0
83604,705.0
84025,699.0
84583,702.0
85052,702.0
85602,701.0
86111,698.0
86525,697.0
87025,700.0
87600,697.0
88013,703.0
88529,699.0
89102,703.0
89513,694.0
90111,697.0
90608,693.0
91077,700.0
91607,693.0
92106,692.0
92606,683.0
93105,689.0
93513,692.0
94105,689.0
94604,695.0
95104,694.0
95583,689.0
96025,685.0
96525,699.0
97102,685.0
97602,686.0
98101,689.0
98513,679.0
99025,691.0
99526,686.0
100025,685.0
100549,678.0
101049,675.0
101608,680.0
102068,681.0
102597,681.0
103107,677.0
103606,686.0
104106,677.0
104546,676.0
105105,675.0
105605,680.0
106030,676.0
106604,680.0
107025,673.0
107557,675.0
108025,684.0
108603,678.0
109106,679.0
109601,674.0
110105,678.0
110601,679.0
111104,675.0
111526,668.0
112079,670.0
112609,672.0
113029,672.0
113598,673.0
114108,672.0
114513,674.0
115028,671.0
115566,674.0
116106,675.0
116606,674.0
117025,675.0
117535,673.0
118025,671.0
118604,671.0
119025,683.0
119603,675.0
120103,669.0
120602,660.0
121102,671.0
121526,673.0
122101,672.0
122551,674.0
123025,671.0
123525,668.0
124040,665.0
124609,673.0
125069,674.0
125608,675.0
126108,672.0
126513,669.0
127028,677.0
127525,672.0
128106,676.0
128525,663.0
129045,672.0
129605,660.0
130108,676.0
130544,673.0
131013,670.0
131603,672.0
132033,670.0
132602,664.0
133102,675.0
133532,675.0
134071,673.0
134601,664.0
135100,670.0
135570,663.0
136090,667.0
136599,667.0
137025,667.0
137608,660.0
138025,663.0
138568,668.0
139107,666.0
139566,666.0
140106,661.0
140606,662.0
141105,659.0
141535,660.0
142104,659.0
142604,668.0
143025,666.0
143526,670.0
144026,660.0
144533,659.0
145102,667.0
145525,669.0
146029,668.0
